Week_day,Year,Month_name,Day_month,Injury_severity,Time_segment,Vacation_day,Number of victims,Slightly injured,Severely injured,Weekend Exists,Season,Density,TM,HRM,PM,PPT,RS24h,VVM10,Number of victims by time segment,Exceeds_Threshold
Wednesday,2021,January,13,3,Afternoon,False,0,1,3,False,Winter,1,8.6,56,1021.2,0.0,9.9,1.9,5,True
Wednesday,2021,January,13,2,Leisure,False,0,0,1,False,Winter,0,8.6,56,1021.2,0.0,9.9,1.9,2,False
Thursday,2021,January,14,2,Work Entrance,False,0,0,1,False,Winter,2,8.5,61,1018.5,0.0,10.1,1.8,2,False
Thursday,2021,January,14,2,Morning,False,0,0,4,False,Winter,1,8.5,61,1018.5,0.0,10.1,1.8,4,True
Thursday,2021,January,14,2,Work Departure,False,0,0,3,False,Winter,1,8.5,61,1018.5,0.0,10.1,1.8,3,False
Thursday,2021,January,14,2,Afternoon,False,0,1,6,False,Winter,1,8.5,61,1018.5,0.0,10.1,1.8,8,True
Friday,2021,January,15,3,Work Entrance,False,0,1,7,True,Winter,2,9.2,63,1016.4,0.0,7.8,1.5,10,True
Friday,2021,January,15,2,Early Morning,False,0,0,1,True,Winter,0,9.2,63,1016.4,0.0,7.8,1.5,1,False
Friday,2021,January,15,3,Morning,False,0,3,5,True,Winter,1,9.2,63,1016.4,0.0,7.8,1.5,10,True
Friday,2021,January,15,2,Work Departure,False,0,1,4,True,Winter,1,9.2,63,1016.4,0.0,7.8,1.5,7,True
Friday,2021,January,15,2,Afternoon,False,0,0,1,True,Winter,1,9.2,63,1016.4,0.0,7.8,1.5,1,False
Saturday,2021,January,16,1,Work Entrance,True,0,1,0,False,Winter,1,9.6,56,1020.2,0.0,9.9,1.7,1,False
Saturday,2021,January,16,3,Morning,True,0,1,2,False,Winter,1,9.6,56,1020.2,0.0,9.9,1.7,4,True
Saturday,2021,January,16,2,Work Departure,True,0,1,7,False,Winter,1,9.6,56,1020.2,0.0,9.9,1.7,8,True
Saturday,2021,January,16,2,Afternoon,True,0,0,1,False,Winter,1,9.6,56,1020.2,0.0,9.9,1.7,1,False
Sunday,2021,January,17,2,Morning,True,0,0,3,False,Winter,1,11.7,52,1018.6,0.0,10.2,1.6,5,True
Sunday,2021,January,17,2,Afternoon,True,0,0,1,False,Winter,1,11.7,52,1018.6,0.0,10.2,1.6,1,False
Sunday,2021,January,17,2,Leisure,True,0,0,1,False,Winter,0,11.7,52,1018.6,0.0,10.2,1.6,1,False
Monday,2021,January,18,2,Work Entrance,False,0,0,2,False,Winter,2,10.9,73,1022.5,0.0,4.5,0.9,3,False
Monday,2021,January,18,2,Morning,False,0,1,5,False,Winter,1,10.9,73,1022.5,0.0,4.5,0.9,9,True
Monday,2021,January,18,2,Work Departure,False,0,1,1,False,Winter,1,10.9,73,1022.5,0.0,4.5,0.9,3,False
Monday,2021,January,18,2,Leisure,False,0,0,1,False,Winter,0,10.9,73,1022.5,0.0,4.5,0.9,2,False
Tuesday,2021,January,19,2,Work Entrance,False,0,1,1,False,Winter,1,11.5,73,1019.5,0.0,9.5,2.0,2,False
Tuesday,2021,January,19,2,Morning,False,0,3,6,False,Winter,1,11.5,73,1019.5,0.0,9.5,2.0,14,True
Tuesday,2021,January,19,2,Work Departure,False,0,2,6,False,Winter,1,11.5,73,1019.5,0.0,9.5,2.0,11,True
Tuesday,2021,January,19,2,Afternoon,False,0,0,4,False,Winter,1,11.5,73,1019.5,0.0,9.5,2.0,4,True
Tuesday,2021,January,19,2,Leisure,False,0,0,1,False,Winter,0,11.5,73,1019.5,0.0,9.5,2.0,1,False
Wednesday,2021,January,20,2,Work Entrance,False,0,3,1,False,Winter,1,12.0,74,1009.6,0.0,3.9,1.8,4,True
Monday,2021,January,18,2,Afternoon,False,0,0,1,False,Winter,1,10.9,73,1022.5,0.0,4.5,0.9,1,False
Wednesday,2021,January,20,1,Morning,False,0,2,0,False,Winter,1,12.0,74,1009.6,0.0,3.9,1.8,2,False
Wednesday,2021,January,20,2,Work Departure,False,0,1,3,False,Winter,1,12.0,74,1009.6,0.0,3.9,1.8,4,True
Wednesday,2021,January,20,2,Afternoon,False,0,0,4,False,Winter,1,12.0,74,1009.6,0.0,3.9,1.8,5,True
Thursday,2021,January,21,2,Work Entrance,False,0,1,3,False,Winter,2,13.4,62,1005.8,0.0,8.3,1.9,4,True
Thursday,2021,January,21,2,Morning,False,0,1,4,False,Winter,1,13.4,62,1005.8,0.0,8.3,1.9,5,True
Thursday,2021,January,21,2,Work Departure,False,0,2,6,False,Winter,1,13.4,62,1005.8,0.0,8.3,1.9,12,True
Thursday,2021,January,21,2,Afternoon,False,0,1,3,False,Winter,1,13.4,62,1005.8,0.0,8.3,1.9,4,True
Thursday,2021,January,21,2,Leisure,False,0,0,1,False,Winter,0,13.4,62,1005.8,0.0,8.3,1.9,1,False
Friday,2021,January,22,2,Work Entrance,False,0,2,2,True,Winter,1,13.1,56,998.9,6.4,4.6,5.0,4,True
Friday,2021,January,22,2,Work Departure,False,0,1,2,True,Winter,1,13.1,56,998.9,6.4,4.6,5.0,6,True
Friday,2021,January,22,2,Afternoon,False,0,0,6,True,Winter,1,13.1,56,998.9,6.4,4.6,5.0,9,True
Saturday,2021,January,23,0,Leisure,True,0,1,0,False,Winter,0,12.3,48,1002.9,0.0,9.1,4.0,1,False
Saturday,2021,January,23,2,Work Departure,True,0,2,1,False,Winter,1,12.3,48,1002.9,0.0,9.1,4.0,4,True
Saturday,2021,January,23,2,Afternoon,True,0,2,3,False,Winter,1,12.3,48,1002.9,0.0,9.1,4.0,7,True
Sunday,2021,January,24,2,Morning,True,0,2,4,False,Winter,1,13.5,53,1001.4,0.0,10.4,3.9,9,True
Sunday,2021,January,24,2,Work Departure,True,0,1,2,False,Winter,1,13.5,53,1001.4,0.0,10.4,3.9,4,True
Sunday,2021,January,24,2,Afternoon,True,0,0,1,False,Winter,1,13.5,53,1001.4,0.0,10.4,3.9,1,False
Monday,2021,January,25,2,Work Entrance,False,0,0,1,False,Winter,2,12.6,58,1005.5,0.0,3.7,3.1,1,False
Monday,2021,January,25,2,Morning,False,0,1,2,False,Winter,1,12.6,58,1005.5,0.0,3.7,3.1,4,True
Monday,2021,January,25,2,Work Departure,False,0,1,6,False,Winter,1,12.6,58,1005.5,0.0,3.7,3.1,10,True
Monday,2021,January,25,2,Afternoon,False,0,2,2,False,Winter,1,12.6,58,1005.5,0.0,3.7,3.1,4,True
Tuesday,2021,January,26,2,Work Entrance,False,0,3,5,False,Winter,1,10.9,74,1017.3,0.3,9.5,2.0,11,True
Tuesday,2021,January,26,2,Morning,False,0,1,2,False,Winter,1,10.9,74,1017.3,0.3,9.5,2.0,3,False
Tuesday,2021,January,26,2,Work Departure,False,0,2,5,False,Winter,1,10.9,74,1017.3,0.3,9.5,2.0,7,True
Tuesday,2021,January,26,2,Afternoon,False,0,0,2,False,Winter,1,10.9,74,1017.3,0.3,9.5,2.0,3,False
Tuesday,2021,January,26,3,Leisure,False,0,0,3,False,Winter,0,10.9,74,1017.3,0.3,9.5,2.0,5,True
Wednesday,2021,January,27,2,Work Entrance,False,0,3,4,False,Winter,2,12.1,58,1016.1,0.0,11.1,1.1,8,True
Wednesday,2021,January,27,2,Morning,False,0,2,2,False,Winter,1,12.1,58,1016.1,0.0,11.1,1.1,5,True
Wednesday,2021,January,27,2,Work Departure,False,0,1,6,False,Winter,1,12.1,58,1016.1,0.0,11.1,1.1,13,True
Wednesday,2021,January,27,2,Afternoon,False,0,0,3,False,Winter,1,12.1,58,1016.1,0.0,11.1,1.1,6,True
Wednesday,2021,January,27,2,Leisure,False,0,1,1,False,Winter,0,12.1,58,1016.1,0.0,11.1,1.1,2,False
Thursday,2021,January,28,2,Leisure,False,0,0,1,False,Winter,0,14.1,73,1015.0,0.0,9.0,1.2,2,False
Thursday,2021,January,28,2,Work Entrance,False,0,1,2,False,Winter,2,14.1,73,1015.0,0.0,9.0,1.2,4,True
Thursday,2021,January,28,2,Morning,False,0,2,4,False,Winter,1,14.1,73,1015.0,0.0,9.0,1.2,6,True
Thursday,2021,January,28,2,Work Departure,False,0,0,6,False,Winter,1,14.1,73,1015.0,0.0,9.0,1.2,6,True
Thursday,2021,January,28,2,Afternoon,False,0,0,5,False,Winter,1,14.1,73,1015.0,0.0,9.0,1.2,6,True
Friday,2021,January,29,2,Work Entrance,False,0,1,3,True,Winter,1,17.0,66,1010.8,0.0,10.6,2.3,5,True
Friday,2021,January,29,2,Morning,False,0,1,3,True,Winter,1,17.0,66,1010.8,0.0,10.6,2.3,6,True
Friday,2021,January,29,3,Work Departure,False,0,3,6,True,Winter,1,17.0,66,1010.8,0.0,10.6,2.3,12,True
Saturday,2021,February,6,3,Afternoon,True,0,1,3,False,Winter,1,14.9,72,997.5,0.0,9.1,2.5,5,True
Friday,2021,January,29,1,Afternoon,False,0,1,0,True,Winter,1,17.0,66,1010.8,0.0,10.6,2.3,1,False
Saturday,2021,January,30,1,Morning,True,0,1,0,False,Winter,1,15.2,57,1001.6,0.2,10.3,3.5,1,False
Saturday,2021,January,30,2,Work Departure,True,0,0,3,False,Winter,1,15.2,57,1001.6,0.2,10.3,3.5,8,True
Sunday,2021,January,31,1,Morning,True,0,3,0,False,Winter,1,14.4,50,998.6,0.0,9.7,5.8,4,True
Sunday,2021,January,31,3,Work Departure,True,0,1,1,False,Winter,1,14.4,50,998.6,0.0,9.7,5.8,2,False
Sunday,2021,January,31,2,Leisure,True,0,0,1,False,Winter,0,14.4,50,998.6,0.0,9.7,5.8,1,False
Monday,2021,February,1,2,Work Entrance,False,0,1,3,False,Winter,1,16.9,47,1000.5,0.1,12.1,4.6,5,True
Monday,2021,February,1,3,Morning,False,0,0,6,False,Winter,2,16.9,47,1000.5,0.1,12.1,4.6,11,True
Monday,2021,February,1,2,Early Morning,False,0,0,1,False,Winter,0,16.9,47,1000.5,0.1,12.1,4.6,1,False
Monday,2021,February,1,2,Work Departure,False,0,0,5,False,Winter,1,16.9,47,1000.5,0.1,12.1,4.6,7,True
Monday,2021,February,1,2,Afternoon,False,0,0,2,False,Winter,2,16.9,47,1000.5,0.1,12.1,4.6,2,False
Tuesday,2021,February,2,2,Work Entrance,False,0,1,6,False,Winter,1,16.2,57,1009.1,0.0,11.9,2.0,9,True
Tuesday,2021,February,2,2,Morning,False,0,1,8,False,Winter,1,16.2,57,1009.1,0.0,11.9,2.0,11,True
Tuesday,2021,February,2,2,Work Departure,False,0,2,13,False,Winter,1,16.2,57,1009.1,0.0,11.9,2.0,20,True
Tuesday,2021,February,2,2,Afternoon,False,0,1,1,False,Winter,1,16.2,57,1009.1,0.0,11.9,2.0,3,False
Tuesday,2021,February,2,2,Leisure,False,0,0,1,False,Winter,0,16.2,57,1009.1,0.0,11.9,2.0,1,False
Wednesday,2021,February,3,2,Work Entrance,False,0,0,2,False,Winter,2,16.1,60,1008.1,0.0,9.2,1.9,2,False
Wednesday,2021,February,3,2,Morning,False,0,1,3,False,Winter,1,16.1,60,1008.1,0.0,9.2,1.9,4,True
Wednesday,2021,February,3,2,Work Departure,False,0,1,3,False,Winter,1,16.1,60,1008.1,0.0,9.2,1.9,4,True
Wednesday,2021,February,3,2,Afternoon,False,0,0,4,False,Winter,1,16.1,60,1008.1,0.0,9.2,1.9,6,True
Wednesday,2021,February,3,2,Leisure,False,0,0,1,False,Winter,0,16.1,60,1008.1,0.0,9.2,1.9,1,False
Thursday,2021,February,4,2,Work Entrance,False,0,0,4,False,Winter,2,12.7,87,1009.1,0.0,8.1,1.0,4,True
Thursday,2021,February,4,3,Morning,False,0,2,6,False,Winter,1,12.7,87,1009.1,0.0,8.1,1.0,10,True
Thursday,2021,February,4,2,Work Departure,False,0,1,3,False,Winter,1,12.7,87,1009.1,0.0,8.1,1.0,6,True
Thursday,2021,February,4,2,Afternoon,False,0,3,6,False,Winter,1,12.7,87,1009.1,0.0,8.1,1.0,12,True
Friday,2021,February,5,2,Work Entrance,False,0,1,4,True,Winter,1,13.2,81,1006.0,0.0,9.8,2.5,5,True
