District_name,Week_day,Month,Time,Sex,Age,Day,Holiday,Time_segment,Number of victims,Slightly injured,Severely injured,Weekend Exit,Season,Density,Weekend Return,Number of accidents by time segment
Sant Martí,Tuesday,1,12,Man,36,2021-01-05,No,Morning,0,1,0,False,Winter,2,No,6
Sant Martí,Tuesday,1,13,Woman,68,2021-01-05,No,Morning,0,0,1,False,Winter,2,No,6
Sarrià-Sant Gervasi,Tuesday,1,14,Woman,50,2021-01-05,No,Work Departure,0,1,0,False,Winter,1,No,10
Sarrià-Sant Gervasi,Tuesday,1,14,Woman,33,2021-01-05,No,Work Departure,0,0,1,False,Winter,1,No,10
Eixample,Tuesday,1,14,Woman,36,2021-01-05,No,Work Departure,0,1,0,False,Winter,1,No,10
Eixample,Tuesday,1,15,Man,47,2021-01-05,No,Work Departure,0,0,1,False,Winter,1,No,10
Eixample,Tuesday,1,15,Man,20,2021-01-05,No,Work Departure,0,0,1,False,Winter,1,No,10
Sants-Montjuïc,Tuesday,1,15,Man,57,2021-01-05,No,Work Departure,0,0,1,False,Winter,1,No,10
Eixample,Tuesday,1,16,Woman,33,2021-01-05,No,Work Departure,0,0,1,False,Winter,1,No,10
Horta-Guinardó,Tuesday,1,17,Man,48,2021-01-05,No,Work Departure,0,1,0,False,Winter,1,No,10
Nou Barris,Tuesday,1,17,Man,40,2021-01-05,No,Work Departure,0,0,1,False,Winter,1,No,10
Sant Martí,Tuesday,1,17,Man,46,2021-01-05,No,Work Departure,0,0,1,False,Winter,1,No,10
Nou Barris,Wednesday,1,9,Man,31,2021-01-06,Yes,Work Entrance,0,0,1,False,Winter,0,No,2
Sants-Montjuïc,Wednesday,1,9,Woman,50,2021-01-06,Yes,Work Entrance,0,0,1,False,Winter,0,No,2
Nou Barris,Wednesday,1,11,Woman,63,2021-01-06,Yes,Morning,0,0,1,False,Winter,1,No,2
Sant Martí,Wednesday,1,13,Man,36,2021-01-06,Yes,Morning,0,1,0,False,Winter,1,No,2
Eixample,Wednesday,1,15,Woman,35,2021-01-06,Yes,Work Departure,0,1,0,False,Winter,1,No,1
