Case_number,Type_of_vehicle,License type,Age license
2022S006371    ,Veh. motor personal mobility,B,7
2022S001958    ,Motorcycle,B,7
2021S005014    ,Tourism,B,7
2022S005413    ,Motorcycle,B,7
2022S007574    ,Van,B,7
2021S003483    ,Taxi,B,7
2022S006947    ,Motorcycle,A2,7
2022S004520    ,SUV,B,7
2022S004241    ,Motorcycle,B,7
2022S005716    ,Motorcycle,B,7
2021S001014    ,Tourism,B,7
2022S001995    ,Tourism,B,7
2022S002413    ,Motorcycle,B,7
2022S005439    ,Taxi,B,7
2022S001898    ,Motorcycle,A1,7
2021S004978    ,Motorcycle,A,7
2022S006890    ,Motorcycle,B,7
2022S003387    ,Motorcycle,A,7
2022S007520    ,Tourism,B,7
2022S000844    ,Motorcycle,B,7
2022S005984    ,Tourism,B,7
2022S000702    ,Tourism,B,7
2022S003640    ,Motorcycle,B,7
2022S005344    ,Tourism,B,7
2021S005688    ,Motorcycle,A,7
2021S000642    ,Motorcycle,B,7
2022S005145    ,Motorcycle,B,7
2022S002218    ,Tourism,B,7
2021S002259    ,Tourism,B,7
2022S005083    ,Ciclomotor,AM,7
2022S001038    ,Taxi,B,7
2022S003968    ,Tourism,B,7
2022S003861    ,Motorcycle,A,7
2022S002677    ,Motorcycle,B,7
2021S003033    ,Tourism,B,7
2021S003677    ,Van,B,7
2022S007009    ,Van,B,7
2022S005727    ,Motorcycle,B,7
2022S007084    ,Motorcycle,B,7
2021S000259    ,Tourism,B,7
2022S002203    ,Motorcycle,A2,7
2021S003195    ,Motorcycle,B,7
2021S000238    ,Motorcycle,B,7
2022S007447    ,Motorcycle,A2,7
2022S003314    ,Tourism,B,7
2021S001251    ,Tourism,B,7
2022S007722    ,Motorcycle,B,7
2022S003330    ,Van,B,7
2022S006861    ,Motorcycle,B,7
2021S002089    ,Motorcycle,B,7
2022S002670    ,Tourism,B,7
2022S002295    ,Motorcycle,A2,7
2022S001479    ,Van,B,7
2021S004316    ,Tourism,B,7
2021S002236    ,Tourism,B,7
2022S004177    ,Motorcycle,A2,7
2021S002666    ,Motorcycle,B,7
2022S000206    ,Motorcycle,B,7
2022S005626    ,Tourism,B,7
2022S005095    ,Motorcycle,B,7
2022S003748    ,Tourism,B,7
2021S000468    ,Van,B,7
2022S003661    ,Motorcycle,A2,7
2022S001254    ,Motorcycle,B,7
2022S003367    ,Motorcycle,A1,7
2021S000338    ,Tourism,B,7
2022S007870    ,Tourism,B,7
2022S002021    ,Motorcycle,A,7
2022S003665    ,Motorcycle,B,7
2021S006749    ,Motorcycle,B,7
2021S001582    ,Tourism,B,7
2021S002257    ,Tourism,B,7
2021S006246    ,Tourism,B,7
2022S007294    ,Motorcycle,B,7
2022S004930    ,Motorcycle,B,7
2022S003072    ,Tourism,B,7
2022S003446    ,Motorcycle,B,7
2022S001904    ,Motorcycle,B,7
2021S000284    ,Tourism,B,7
2021S002528    ,Motorcycle,B,7
2022S007406    ,Motorcycle,B,7
2022S003011    ,Motorcycle,A2,7
2021S005582    ,Motorcycle,A1,7
2022S006075    ,Van,B,7
2022S004160    ,Tourism,B,7
2021S004033    ,Van,B,7
2022S000559    ,Motorcycle,B,7
2022S001977    ,Motorcycle,A,7
2022S002646    ,Articulated bus,D,7
2022S000134    ,Taxi,B,7
2021S006452    ,Tourism,B,7
2022S003582    ,Tourism,B,7
2021S003608    ,Tourism,B,7
2022S005047    ,Tourism,A,7
2022S007100    ,Articulated bus,D,7
2022S001530    ,Motorcycle,A1,7
2022S000654    ,Tourism,B,7
2022S000130    ,Motorcycle,B,7
2022S006919    ,Tourism,B,7
2022S001707    ,Taxi,B,7
2021S000526    ,Motorcycle,B,7
2022S000757    ,Motorcycle,B,7
2022S000754    ,Tourism,B,7
2021S004204    ,Articulated bus,D,7
2022S007570    ,Tourism,B,7
2022S000124    ,Tourism,B,7
2022S001684    ,Motorcycle,B,7
2021S002028    ,Motorcycle,A2,7
2022S007253    ,Taxi,B,7
2022S001102    ,Motorcycle,B,7
2022S004807    ,Taxi,B,7
2022S000083    ,Bus,D,7
2021S000723    ,Motorcycle,B,7
2021S005274    ,Ciclomotor,B,7
2022S004031    ,Tourism,B,7
2022S008012    ,Tourism,B,7
2021S005145    ,Motorcycle,A,7
2022S007699    ,Tourism,B,7
2021S007045    ,Motorcycle,B,7
2021S006669    ,Taxi,B,7
2022S000935    ,Bus,D,7
2021S002508    ,Tourism,B,7
2021S004194    ,Train or tram,D,7
2022S005188    ,Tourism,B,7
2022S005416    ,Tourism,B,7
2021S001766    ,Tourism,B,7
2021S000175    ,Motorcycle,B,7
2021S007410    ,Tourism,B,7
2021S003087    ,Tourism,B,7
2022S004080    ,Van,B1,7
2021S000624    ,Motorcycle,B,7
2021S004510    ,Ciclomotor,B,7
2022S007985    ,Tourism,B,7
2021S000382    ,Van,B,7
2022S005256    ,Taxi,B,7
2022S000873    ,Rigid truck > 3.5 tonnes,C,7
2021S006634    ,Tourism,B,7
2022S001786    ,Bus,D,7
2021S000654    ,Van,B,7
2022S006787    ,Motorcycle,B,7
2021S004118    ,Tourism,B,7
2021S004118    ,Motorcycle,B,7
2021S004470    ,Tourism,B,7
2022S007560    ,Tourism,B,7
2021S003999    ,Tourism,B,7
2021S005778    ,Tourism,B,7
2022S000261    ,Tourism,B,7
2021S005116    ,Tourism,B,7
2022S003115    ,Bus,D,7
2022S007148    ,Van,B,7
2022S006637    ,Motorcycle,B,7
2022S001247    ,Tourism,B,7
2021S000768    ,Tourism,B,7
2022S000215    ,Tourism,B,7
2022S005213    ,Tourism,B,7
2021S003290    ,Motorcycle,B,7
2022S002865    ,Taxi,B,7
2021S007048    ,Motorcycle,B,7
2022S002558    ,Tourism,B,7
2022S004476    ,Motorcycle,B,7
2022S005519    ,Tourism,B,7
2022S001215    ,Motorcycle,B,7
2022S003515    ,Motorcycle,A1,7
2022S007575    ,Tourism,B,7
2022S007634    ,Motorcycle,B,7
2022S006178    ,Bicycle,B,7
2022S007583    ,Tourism,B,7
2022S007783    ,Tourism,B,7
2022S002784    ,Motorcycle,A,7
2022S005307    ,Tourism,B,7
2022S000422    ,Tourism,B,7
2022S004013    ,Ciclomotor,B,7
2022S001305    ,Rigid truck <= 3.5 tonnes,B,7
2022S002962    ,Tourism,B,7
2021S004423    ,Van,B,7
2022S000386    ,Motorcycle,B,7
2022S003506    ,Motorcycle,A1,7
2022S006544    ,Tourism,B,7
2021S002864    ,Tourism,B,7
2021S006565    ,Motorcycle,A2,7
2022S002394    ,Motorcycle,B,7
2022S001467    ,Tourism,B,7
2021S001433    ,Bus,D,7
2022S006114    ,Motorcycle,B,7
2021S002025    ,Tourism,B,7
2022S000495    ,Motorcycle,A1,7
2021S000763    ,Motorcycle,B,7
2022S003062    ,Bus,D,7
2022S001497    ,Tourism,B,7
2022S001847    ,Motorcycle,B,7
2022S002098    ,Motorcycle,A1,7
2021S001050    ,Motorcycle,A2,7
2022S001963    ,Motorcycle,B,7
2021S005049    ,Tourism,B,7
2021S000523    ,Tourism,B,7
2022S003881    ,Tourism,B,7
2022S002640    ,Motorcycle,B,7
2022S000948    ,Motorcycle,B,7
2021S004350    ,Motorcycle,B,7
2022S003258    ,Tourism,B,7
2022S002219    ,Tourism,B,7
2021S006921    ,Ciclomotor,AM,7
2022S004117    ,Ciclomotor,B,7
2022S006693    ,Motorcycle,A,7
2022S001411    ,Motorcycle,B,7
2022S007044    ,Motorcycle,A,7
2021S001641    ,Tourism,B,7
2021S001856    ,Motorcycle,A1,7
2022S003904    ,Motorcycle,A,7
2022S004007    ,Taxi,B,7
2022S000306    ,Motorcycle,A,7
2022S004677    ,Tourism,B,7
2022S004503    ,Motorcycle,B,7
2022S005056    ,Taxi,B,7
2021S003379    ,Tourism,B,7
2022S001358    ,Tourism,B,7
2022S002973    ,Tourism,B,7
2022S003949    ,Tourism,B,7
2021S002784    ,Van,B,7
2022S006827    ,Motorcycle,B,7
2022S002428    ,Motorcycle,A,7
2022S002985    ,Motorcycle,B,7
2022S007415    ,Van,B,7
2022S000726    ,Motorcycle,B,7
2021S004077    ,Ambulance,B,7
2022S003501    ,Tourism,B,7
2021S007338    ,Motorcycle,B,7
2021S006842    ,Tourism,B,7
2022S007455    ,Motorcycle,B,7
2022S000382    ,Tourism,B,7
2022S006574    ,Tourism,B,7
2021S000047    ,Van,B,7
2022S007307    ,Motorcycle,B,7
2022S002333    ,Tourism,B,7
2022S004724    ,Taxi,B,7
2022S007154    ,Bus,C,7
2022S005216    ,Tourism,B,7
2022S002634    ,Tourism,B,7
2022S006292    ,Tourism,B,7
2022S002515    ,Motorcycle,A,7
2022S002276    ,Motorcycle,B,7
2022S000253    ,Tourism,B,7
2022S000016    ,Motorcycle,B,7
2021S006719    ,Motorcycle,B,7
2021S006432    ,Tourism,B,7
2021S005062    ,Tourism,B,7
2022S004275    ,Motorcycle,B,7
2022S004709    ,Motorcycle,B,7
2021S004143    ,Motorcycle,B,7
2022S001430    ,Bicycle,B,7
2022S004344    ,Motorcycle,B,7
2022S001677    ,Motorcycle,B,7
2021S003690    ,Bus,D,7
2022S005281    ,Motorcycle,B,7
2022S006365    ,Tourism,B,7
2021S005417    ,Tourism,B,7
2021S005417    ,Tourism,B,7
2021S001706    ,Tourism,B,7
2022S007396    ,Motorcycle,B,7
2021S003154    ,Motorcycle,A2,7
2022S005349    ,Tourism,B,7
2022S001161    ,Motorcycle,B,7
2022S000836    ,Tourism,B,7
2022S006344    ,Van,B,7
2022S004287    ,Tourism,B,7
2022S000423    ,Van,B,7
2022S004667    ,Tourism,B,7
2022S000924    ,Motorcycle,A,7
2021S001261    ,Van,B,7
2022S004467    ,Tourism,B,7
2022S004467    ,Tourism,B,7
2021S000405    ,Tourism,B,7
2021S005081    ,Motorcycle,B,7
2021S003776    ,Bus,D,7
2021S005068    ,Motorcycle,B,7
2021S002289    ,Motorcycle,B,7
2022S000525    ,Ciclomotor,B,7
2022S003579    ,Tourism,B,7
2022S000973    ,Tourism,B,7
2022S000944    ,Motorcycle,A2,7
2021S000372    ,Motorcycle,B,7
2021S001738    ,Tourism,B,7
2022S005206    ,Motorcycle,B,7
2022S007383    ,Motorcycle,B,7
2021S006254    ,Motorcycle,B,7
2021S002988    ,Tourism,B,7
2022S005616    ,Motorcycle,A2,7
2021S004483    ,Motorcycle,B,7
2021S000133    ,Motorcycle,B,7
2022S002778    ,Tourism,B,7
2022S000526    ,Motorcycle,B,7
2022S001639    ,Motorcycle,B,7
2022S001519    ,Tourism,B,7
2022S005444    ,Veh. motor personal mobility,B,7
2022S004377    ,Tourism,B,7
2022S004938    ,Motorcycle,A2,7
2022S004178    ,Motorcycle,B,7
2022S002743    ,Tourism,B,7
2022S002111    ,Ciclomotor,B,7
2021S005966    ,Ciclomotor,B,7
2022S003312    ,Van,B,7
2022S003599    ,Tourism,B,7
2022S006213    ,Tourism,B,7
2021S000097    ,Motorcycle,B,7
2022S007128    ,Tourism,B,7
2022S007751    ,Motorcycle,A2,7
2022S000725    ,Motorcycle,B,7
2022S000391    ,Motorcycle,B,7
2021S007202    ,Motorcycle,A2,7
2022S005928    ,Motorcycle,B,7
2021S004761    ,Motorcycle,A2,7
2022S000040    ,Van,B,7
2021S004127    ,Articulated bus,D,7
2021S004796    ,Motorcycle,B,7
2022S006153    ,Van,B,7
2022S006275    ,Bus,D,7
2022S008006    ,Motorcycle,B,7
2022S002528    ,Motorcycle,B,7
2022S006392    ,Tourism,B,7
2022S007843    ,Articulated bus,D,7
2022S007671    ,Tourism,B,7
2022S003776    ,Bus,D,7
2022S007210    ,Bicycle,B,7
2022S006406    ,Ambulance,B,7
2022S002328    ,Van,B,7
2022S007076    ,Tourism,B,7
2022S007963    ,Motorcycle,B,7
2021S006464    ,Tourism,B,7
2022S000568    ,Tourism,B,7
2022S004494    ,Motorcycle,B,7
2022S003480    ,Motorcycle,A2,7
2022S003685    ,Motorcycle,A,7
2021S005292    ,Tourism,B,7
2021S002581    ,Motorcycle,B,7
2021S007179    ,Motorcycle,A,7
2022S001885    ,Motorcycle,B,7
2022S007799    ,SUV,B,7
2022S000925    ,Motorcycle,A,7
2021S005586    ,Bus,D,7
2022S001170    ,Bus,D,7
2022S000145    ,Tourism,B,7
2022S000269    ,Tourism,B,7
2022S007045    ,Motorcycle,B,7
2022S002279    ,Tourism,B,7
2022S001436    ,Motorcycle,B,7
2021S005600    ,Tourism,B,7
2022S002952    ,Tourism,B,7
2021S005303    ,Motorcycle,A,7
2022S001583    ,Tourism,B,7
2022S003159    ,Motorcycle,B,7
2022S000160    ,Tourism,B,7
2021S007653    ,Motorcycle,B,7
2022S007302    ,Tourism,B,7
2022S007970    ,Motorcycle,A,7
2021S002681    ,Van,B,7
2022S000455    ,Bicycle,B,7
2022S003306    ,Motorcycle,B,7
2022S000871    ,Taxi,B,7
2021S005278    ,Motorcycle,B,7
2022S001003    ,Ciclomotor,B,7
2022S003773    ,Motorcycle,B,7
2022S006550    ,Tourism,B,7
2022S006196    ,Tourism,B,7
2021S002828    ,Tourism,B,7
2021S005690    ,Motorcycle,B,7
2022S002228    ,Van,B,7
2022S003112    ,Van,B,7
2022S007311    ,Motorcycle,B,7
2021S004100    ,Tourism,B,7
2021S002554    ,Tourism,B,7
2021S002362    ,Motorcycle,B,7
2022S003175    ,Tourism,B,7
2021S006238    ,Taxi,B,7
2022S004532    ,Motorcycle,A2,7
2022S002627    ,Motorcycle,B,7
2022S004016    ,Ciclomotor,B,7
2021S000916    ,Van,B,7
2021S001247    ,Motorcycle,B,7
2021S000542    ,Motorcycle,B,7
2022S000549    ,Van,B,7
2022S007538    ,Motorcycle,A2,7
2022S002817    ,Tourism,B,7
2022S003140    ,Tourism,B,7
2022S000424    ,Motorcycle,B,7
2022S001893    ,Tourism,B,7
2022S007419    ,Motorcycle,B,7
2022S004340    ,Motorcycle,B1,7
2022S005614    ,Ciclomotor,B,7
2021S003468    ,Motorcycle,B,7
2021S003354    ,Tourism,A,7
2021S004948    ,Motorcycle,A,7
2022S002709    ,Tourism,B,7
2021S004338    ,Tourism,B,7
2021S006832    ,Tourism,B,7
2021S001294    ,Motorcycle,B,7
2022S000448    ,Taxi,B,7
2022S002721    ,Tourism,B,7
2022S007602    ,Rigid truck > 3.5 tonnes,C,7
2022S004334    ,Tourism,B,7
2022S002159    ,Motorcycle,B,7
2022S007930    ,Tourism,B,7
2022S007006    ,Bicycle,B,7
2021S005597    ,Motorcycle,B,7
2021S006441    ,Bicycle,B,7
2022S002815    ,Veh. motor personal mobility,B,7
2021S000859    ,Tourism,B,7
2022S006281    ,Van,B,7
2022S004271    ,Motorcycle,A2,7
2022S004401    ,Tourism,B,7
2021S002428    ,Tourism,B,7
2021S005650    ,Motorcycle,B,7
2022S006824    ,Motorcycle,B,7
2022S003647    ,Tourism,B,7
2022S003674    ,Van,B,7
2022S001852    ,Tourism,B,7
2022S004081    ,Taxi,B,7
2022S002179    ,Tourism,B,7
2022S003075    ,Motorcycle,A1,7
2022S001729    ,Tourism,B,7
2022S004562    ,Bus,D,7
2022S004562    ,Tourism,B,7
2022S000730    ,Motorcycle,B,7
2022S007559    ,Tourism,B,7
2022S004720    ,Ciclomotor,B,7
2021S001989    ,Ciclomotor,AM,7
2022S001831    ,Motorcycle,B,7
2022S006891    ,Motorcycle,B,7
2021S006923    ,Tourism,B,7
2021S006000    ,Tourism,B,7
2021S001897    ,Motorcycle,B,7
2021S006917    ,Motorcycle,A2,7
2021S006532    ,Motorcycle,B,7
2021S003702    ,Motorcycle,A2,7
2021S004164    ,Motorcycle,A1,7
2021S004287    ,Tourism,B,7
2021S007089    ,Van,B,7
2021S002700    ,Tourism,B,7
2021S000437    ,Taxi,B,7
2021S002930    ,Bus,D,7
2021S001265    ,SUV,B,7
2021S000274    ,Motorcycle,B,7
2021S002265    ,Tourism,B,7
2021S000752    ,Motorcycle,B,7
2021S000519    ,Motorcycle,B,7
2021S003891    ,Tourism,B,7
2021S003319    ,Tourism,B,7
2021S002843    ,Tourism,B,7
2021S007639    ,Tourism,B,7
2021S006894    ,Motorcycle,A,7
2021S002021    ,Ciclomotor,B,7
2021S004903    ,Motorcycle,A,7
2021S001141    ,Tourism,B,7
2021S002847    ,Tourism,B,7
2021S001974    ,Tourism,B,7
2021S001276    ,Motorcycle,B,7
2021S004214    ,Motorcycle,B,7
2021S007350    ,Tourism,B,7
2021S006197    ,Tourism,B,7
2021S004175    ,Van,B,7
2021S002221    ,Tourism,B,7
2021S002282    ,Motorcycle,B,7
2021S005668    ,Tourism,B,7
2021S001717    ,Motorcycle,A2,7
2021S000641    ,Tourism,B,7
2021S003004    ,Tourism,B,7
2021S005712    ,Tourism,B,7
2021S006163    ,Tourism,B,7
2021S006711    ,Taxi,B,7
2021S003732    ,Bicycle,B,7
2021S002324    ,Tourism,B,7
2021S002469    ,Taxi,B,7
2021S004683    ,Motorcycle,B,7
2021S000291    ,Motorcycle,B,7
2021S002457    ,Tourism,B,7
2021S004658    ,Tourism,B,7
2021S003067    ,Tourism,B,7
2021S002457    ,Motorcycle,B,7
2021S004303    ,Taxi,B,7
2021S003556    ,Motorcycle,A,7
2021S002140    ,Ciclomotor,B,7
2021S007463    ,Tourism,B,7
2021S006958    ,Taxi,B,7
2021S004563    ,Tourism,B,7
2021S007661    ,Motorcycle,A1,7
2021S007661    ,Motorcycle,B,7
2021S000001    ,Tourism,B,7
2021S006781    ,Tourism,B,7
2021S004940    ,Motorcycle,B,7
2021S001302    ,Tourism,B,7
2021S000944    ,Motorcycle,A,7
2021S003439    ,Motorcycle,A1,7
2021S002171    ,Ambulance,B,7
2021S006334    ,Tourism,B,7
2021S006939    ,Motorcycle,A2,7
2021S004052    ,Motorcycle,B,7
2021S007487    ,Taxi,B,7
2021S005242    ,Tourism,B,7
2021S005212    ,Taxi,B,7
2021S000644    ,Tourism,B,7
2021S000472    ,Motorcycle,A2,7
2021S006102    ,Tourism,B,7
2021S001890    ,Ciclomotor,AM,7
2021S003794    ,Motorcycle,B,7
2021S005929    ,Tourism,B,7
2021S007099    ,Motorcycle,B,7
2021S003560    ,Veh. motor personal mobility,B,7
2021S001520    ,Van,B,7
2021S000467    ,Van,B,7
2021S003658    ,Motorcycle,A,7
2021S004668    ,Tourism,B,7
2021S005959    ,Motorcycle,B,7
2021S006896    ,Motorcycle,A,7
2021S001568    ,Motorcycle,A,7
2021S007403    ,Tourism,B,7
2021S004055    ,Taxi,B,7
2021S002879    ,Taxi,B,7
2021S005019    ,Veh. motor personal mobility,B,7
2021S000919    ,Motorcycle,B,7
2021S003685    ,Motorcycle,B,7
2021S005765    ,Motorcycle,B,7
2021S005608    ,Motorcycle,B,7
2021S001271    ,SUV,B,7
2021S005849    ,Motorcycle,A,7
2021S005150    ,Motorcycle,A,7
2021S000427    ,Motorcycle,B,7
2021S003824    ,Bus,D,7
2021S003728    ,Articulated bus,D,7
2021S002720    ,Motorcycle,B,7
2021S003992    ,Motorcycle,A,7
2021S007061    ,Tourism,B,7
2021S004387    ,Motorcycle,B,7
2021S002861    ,Tourism,B,7
2021S006797    ,Tourism,B,7
2021S002243    ,Motorcycle,B,7
2021S005429    ,Bus,D,7
2021S005211    ,Tourism,B,7
2021S002195    ,Tourism,B,7
2021S004266    ,Tourism,B,7
2021S003805    ,Ciclomotor,AM,7
2021S003900    ,Motorcycle,B,7
2021S004528    ,Tourism,B,7
2021S005131    ,Bicycle,B,7
2021S005228    ,Motorcycle,B,7
2021S001942    ,Motorcycle,B,7
2021S005124    ,Tourism,B,7
2021S005095    ,Motorcycle,B,7
2021S003988    ,Motorcycle,A2,7
2021S001472    ,Motorcycle,B,7
2021S006018    ,Tourism,B,7
2021S000561    ,Tourism,B,7
2021S007571    ,Tourism,B,7
2021S005982    ,Motorcycle,B,7
2021S004228    ,Motorcycle,B,7
2021S006364    ,Ciclomotor,A,7
2021S000011    ,Tourism,B,7
2021S007621    ,Motorcycle,B,7
2021S004276    ,Motorcycle,A1,7
2021S005058    ,Van,B,7
2021S003532    ,Tourism,B,7
2021S006029    ,Motorcycle,B,7
2021S000119    ,Motorcycle,A2,7
2021S007646    ,Van,B,7
2021S001978    ,Motorcycle,B,7
2021S000370    ,Motorcycle,B,7
2021S003700    ,Tourism,B,7
2021S006841    ,Motorcycle,B,7
2021S004256    ,Tourism,B,7
2021S004648    ,Motorcycle,Llicència,7
2021S002731    ,Tourism,B,7
2021S001959    ,Taxi,B,7
2021S001008    ,Tourism,B,7
2021S005122    ,Tourism,B,7
2021S005214    ,Motorcycle,B,7
2021S005166    ,Ciclomotor,AM,7
2021S006145    ,Tourism,B,7
2021S001809    ,Tourism,B,7
2021S002069    ,Tractor truck,E C,7
2021S003348    ,Ciclomotor,AM,7
2021S004283    ,Van,B,7
2021S005477    ,Tourism,B,7
2021S004153    ,Motorcycle,B,7
2021S000760    ,Tourism,B,7
2021S002882    ,Tourism,B,7
2021S007469    ,Motorcycle,B,7
2021S004328    ,Tourism,B,7
2021S007074    ,Motorcycle,B,7
2021S001581    ,Bus,D,7
2021S007455    ,Veh. motor personal mobility,B,7
2021S005634    ,Taxi,B,7
2021S006547    ,Tourism,B,7
2021S007268    ,Veh. motor personal mobility,B,7
2021S006780    ,Tourism,B,7
2021S003594    ,Tourism,B,7
2021S005311    ,Tourism,B,7
2021S003694    ,Ciclomotor,B,7
2021S004257    ,Bus,D,7
2021S002600    ,Motorcycle,B,7
2021S001633    ,Motorcycle,A2,7
2021S007603    ,Van,B,7
2021S003347    ,Motorcycle,B,7
2021S001987    ,Tourism,B,7
2021S006610    ,Motorcycle,B,7
2021S004260    ,Tourism,B,7
2021S004695    ,Tourism,B,7
2021S003355    ,Tourism,B,7
2021S005218    ,Taxi,B,7
2021S006350    ,Motorcycle,B,7
2021S001923    ,Tourism,B,7
2021S006439    ,Motorcycle,B,7
2021S002099    ,Van,B,7
2021S000741    ,Tourism,B,7
2021S004123    ,Motorcycle,B,7
2021S003279    ,Motorcycle,B,7
2021S005366    ,Tourism,B,7
2021S000058    ,Tourism,B,7
2021S002492    ,Motorcycle,B,7
2021S004408    ,Motorcycle,B,7
2021S004459    ,Tourism,B,7
2021S000851    ,Motorcycle,A2,7
2021S007306    ,Motorcycle,B,7
2021S000728    ,Motorcycle,A2,7
2021S005075    ,Rigid truck > 3.5 tonnes,C1,7
2021S001532    ,Tourism,B,7
2021S001959    ,Tourism,B,7
2021S002731    ,Taxi,B,7
2021S005564    ,Motorcycle,A,7
2021S006460    ,Motorcycle,A1,7
2021S007171    ,Motorcycle,A,7
2021S005040    ,Tourism,B,7
2022S006184    ,Motorcycle,B,8
2021S006171    ,Motorcycle,B,8
2022S006324    ,Motorcycle,B,8
2021S005085    ,Tourism,B,8
2022S006873    ,Bus,D,8
2022S007111    ,Motorcycle,B,8
2022S004903    ,Tourism,B,8
2021S003540    ,Rigid truck <= 3.5 tonnes,B,8
2021S004466    ,Tourism,B,8
2022S004864    ,Motorcycle,B,8
2021S002228    ,Tourism,B,8
2022S003974    ,Motorcycle,B,8
2021S002258    ,Motorcycle,B,8
2022S001376    ,Motorcycle,B,8
2021S000887    ,Tourism,B,8
2021S004332    ,Motorcycle,B,8
2021S001287    ,Tourism,B,8
2021S000124    ,Motorcycle,B,8
2022S004957    ,Motorcycle,B,8
2021S000620    ,Motorcycle,B,8
2022S005867    ,Motorcycle,B,8
2022S001267    ,Van,B,8
2022S004423    ,Tourism,B,8
2021S005001    ,Motorcycle,B,8
2022S003068    ,Motorcycle,A2,8
2021S004962    ,Motorcycle,A1,8
2022S006568    ,Ciclomotor,B,8
2022S007071    ,Bicycle,B,8
2022S005867    ,Van,B,8
2021S004645    ,Veh. motor personal mobility,B,8
2021S004249    ,Tourism,B,8
2022S000713    ,Tourism,B,8
2022S006349    ,Motorcycle,A2,8
2021S001506    ,Ciclomotor,B,8
2022S000367    ,Motorcycle,A,8
2021S004505    ,Taxi,B,8
2022S007071    ,Bicycle,B,8
2022S001876    ,Motorcycle,B,8
2021S004275    ,Tourism,B,8
2021S006688    ,Tourism,B,8
2021S002590    ,SUV,B,8
2022S005502    ,Tourism,B,8
2022S006277    ,Motorcycle,B,8
2022S001995    ,Tourism,B,8
2021S004964    ,Motorcycle,B,8
2022S004662    ,Tourism,B,8
2021S005074    ,Van,B,8
2021S004783    ,Taxi,B,8
2022S005078    ,Motorcycle,B,8
2021S002244    ,Tourism,B,8
2022S000035    ,Motorcycle,Unkown,8
2022S004188    ,Tourism,B,8
2021S005974    ,Tourism,B,8
2022S004001    ,Motorcycle,B,8
2022S000917    ,Tourism,B,8
2022S000938    ,Motorcycle,B,8
2021S002546    ,Tourism,B,8
2021S005627    ,Tourism,B,8
2021S002230    ,Van,B,8
2021S003978    ,Ciclomotor,AM,8
2021S003947    ,Van,B,8
2021S003947    ,Motorcycle,B,8
2021S000642    ,Motorcycle,B,8
2021S007660    ,Motorcycle,B,8
2021S001870    ,Tourism,B,8
2021S000996    ,Ciclomotor,AM,8
2022S002680    ,Tourism,B,8
2022S006401    ,Taxi,B,8
2021S000865    ,Van,B,8
2022S007895    ,Motorcycle,B,8
2021S005317    ,Ambulance,B,8
2022S002823    ,Tourism,B,8
2021S000068    ,Motorcycle,B,8
2021S005086    ,Motorcycle,B,8
2021S005576    ,Motorcycle,A,8
2021S007288    ,Ambulance,B,8
2021S007065    ,Van,B,8
2021S005687    ,Tourism,B,8
2022S000805    ,Tourism,B,8
2021S002945    ,Tourism,B,8
2021S002430    ,Van,B,8
2022S003474    ,Motorcycle,B,8
2021S007218    ,Tourism,B,8
2021S003786    ,Motorcycle,B,8
2021S005317    ,Motorcycle,B,8
2022S005418    ,Taxi,B,8
2022S003204    ,Tourism,B,8
2021S004707    ,Tourism,B,8
2021S004029    ,Tourism,B,8
2022S005187    ,Bus,D,8
2022S007584    ,Motorcycle,B,8
2021S007111    ,Tourism,B1,8
2021S005188    ,Tourism,B,8
2022S001776    ,Ambulance,B,8
2021S004114    ,Motorcycle,B,8
2022S005114    ,Bus,D,8
2022S005301    ,Motorcycle,B,8
2021S007123    ,Motorcycle,B,8
2021S005527    ,Rigid truck <= 3.5 tonnes,B,8
2022S007395    ,Motorcycle,B,8
2022S003409    ,Bus,D,8
2022S007416    ,Motorcycle,B,8
2021S006723    ,Motorcycle,B,8
2021S003352    ,Motorcycle,B,8
2021S004382    ,Tourism,B,8
2022S005925    ,Tourism,B,8
2022S005170    ,Veh. motor personal mobility,B,8
2022S004856    ,Motorcycle,B,8
2022S004856    ,Motorcycle,A2,8
2022S003755    ,Motorcycle,B,8
2022S007951    ,Bicycle,B,8
2022S002388    ,Motorcycle,B,8
2022S006880    ,Motorcycle,A,8
2021S000863    ,Ciclomotor,B,8
2021S004113    ,Tourism,B,8
2021S007452    ,Tourism,B,8
2021S006402    ,Motorcycle,B,8
2021S006617    ,Motorcycle,B,8
2022S004923    ,Tourism,B,8
2022S004384    ,Motorcycle,B,8
2021S001444    ,Motorcycle,B,8
2021S001444    ,Tourism,B,8
2022S000158    ,Motorcycle,B,8
2021S006218    ,Motorcycle,B,8
2021S005949    ,Motorcycle,A2,8
2022S003150    ,Ciclomotor,B,8
2022S004574    ,Rigid truck <= 3.5 tonnes,B,8
2022S002267    ,Motorcycle,B,8
2021S006786    ,Motorcycle,B,8
2021S005642    ,Tourism,B,8
2021S002344    ,Motorcycle,A,8
2021S006053    ,Motorcycle,B,8
2021S001688    ,Tourism,B,8
2022S004270    ,Motorcycle,A,8
2022S000841    ,Tourism,B,8
2022S004304    ,Motorcycle,A2,8
2021S007088    ,Motorcycle,B,8
2022S004577    ,Tourism,B,8
2021S005353    ,Motorcycle,B,8
2021S005176    ,Tourism,B,8
2021S000383    ,Motorcycle,B,8
2022S000514    ,Motorcycle,B,8
