Case_number,Type_of_vehicle,License type,Age license
2022S000911    ,Motorcycle,B,1
2022S002684    ,Ciclomotor,B,1
2022S005121    ,Motorcycle,A2,1
2021S004268    ,Tourism,B,1
2022S006114    ,Tourism,B,1
2022S005336    ,Tourism,B,1
2022S000025    ,Tourism,B,1
2022S001388    ,Ciclomotor,AM,1
2022S005387    ,Tourism,B,1
2022S004942    ,Ciclomotor,B,1
2022S001742    ,Tourism,B,1
2022S001742    ,Ciclomotor,B,1
2022S006988    ,Motorcycle,A2,1
2022S005865    ,Tourism,B,1
2021S005884    ,Motorcycle,A2,1
2021S000475    ,Tourism,B,1
2022S006350    ,Tourism,B,1
2022S001487    ,Tourism,B,1
2022S007021    ,Motorcycle,A2,1
2022S001339    ,Tourism,B,1
2022S002336    ,Motorcycle,B,1
2022S007898    ,Tourism,B,1
2022S002483    ,Motorcycle,A2,1
2022S000990    ,Tourism,B,1
2022S001020    ,Tourism,B,1
2022S001489    ,Tourism,B,1
2021S007177    ,Motorcycle,A,1
2021S000648    ,Tractor truck,E D,1
2021S005361    ,Motorcycle,A,1
2022S005406    ,Motorcycle,A2,1
2021S003962    ,Motorcycle,A2,1
2021S006459    ,Tourism,B,1
2021S001024    ,Tourism,B,1
2022S000398    ,Tourism,B,1
2022S000250    ,Motorcycle,A1,1
2022S000071    ,Motorcycle,A1,1
2021S006474    ,Motorcycle,A,1
2021S001007    ,Motorcycle,A,1
2022S000348    ,Motorcycle,A2,1
2022S004835    ,Van,B,1
2021S004154    ,Van,B,1
2021S006559    ,Ciclomotor,B,1
2021S003853    ,Tourism,B,1
2021S006531    ,Tourism,B,1
2021S004176    ,Van,B,1
2021S004178    ,Motorcycle,B,1
2021S004344    ,Van,B,1
2022S004736    ,Tourism,B,1
2021S003492    ,Motorcycle,B,1
2022S006632    ,Ciclomotor,B,1
2021S004705    ,Motorcycle,A1,1
2022S004375    ,Bicycle,A,1
2022S004834    ,Motorcycle,B,1
2021S004092    ,Van,B,1
2021S004607    ,Ciclomotor,B,1
2021S006159    ,Ciclomotor,B,1
2021S004614    ,Ciclomotor,AM,1
2022S004492    ,Tourism,B,1
2021S007112    ,Motorcycle,A2,1
2022S003583    ,Ciclomotor,B,1
2022S003534    ,Tourism,B,1
2022S005013    ,Rigid truck > 3.5 tonnes,C,1
2022S001930    ,Tourism,B,1
2022S007102    ,Rigid truck <= 3.5 tonnes,B,1
2021S005065    ,Ciclomotor,AM,1
2021S005065    ,Tourism,B,1
2022S004196    ,Tourism,B,1
2021S006370    ,Motorcycle,A1,1
2022S002462    ,Motorcycle,A2,1
2022S000773    ,Tourism,B,1
2022S007314    ,Tourism,B,1
2022S005567    ,Tourism,B,1
2022S004098    ,Motorcycle,B,1
2022S002098    ,Motorcycle,A2,1
2022S007462    ,Motorcycle,A2,1
2021S001456    ,Tourism,B,1
2021S004471    ,Motorcycle,A,1
2022S003196    ,Motorcycle,A2,1
2021S002956    ,Motorcycle,A2,1
2022S003894    ,Tourism,B,1
2021S000892    ,Tourism,B,1
2021S003138    ,Motorcycle,A,1
2022S003448    ,Motorcycle,A1,1
2021S002744    ,Tourism,B,1
2021S004162    ,Tourism,B,1
2022S001034    ,Ciclomotor,B,1
2022S000116    ,Ciclomotor,AM,1
2021S004514    ,Tourism,B,1
2021S005883    ,SUV,B,1
2021S004196    ,Motorcycle,B,1
2022S000805    ,Motorcycle,A,1
2021S001333    ,Motorcycle,A,1
2021S006898    ,Ciclomotor,B,1
2021S001672    ,Rigid truck <= 3.5 tonnes,B,1
2022S000834    ,Motorcycle,A,1
2022S001413    ,Tourism,B,1
2021S006451    ,Motorcycle,B,1
2021S003935    ,Ciclomotor,AM,1
2021S006294    ,Motorcycle,B,1
2022S004508    ,Motorcycle,A2,1
2022S004022    ,Tourism,B,1
2021S000837    ,Motorcycle,A1,1
2022S004120    ,Tourism,B,1
2021S001209    ,Motorcycle,A,1
2022S006040    ,Ciclomotor,B,1
2021S007444    ,Tourism,B,1
2021S006680    ,Tourism,B,1
2022S005214    ,Van,B,1
2022S007813    ,Tourism,B,1
2022S001204    ,Motorcycle,A2,1
2021S004960    ,Motorcycle,A2,1
2021S004082    ,Motorcycle,A2,1
2021S004511    ,Tourism,B,1
2021S006007    ,Motorcycle,B,1
2021S006619    ,Ciclomotor,AM,1
2021S004364    ,Motorcycle,A2,1
2022S000157    ,Motorcycle,B,1
2021S003451    ,Motorcycle,A2,1
2022S002168    ,Tourism,B,1
2021S006187    ,Ciclomotor,A2,1
2021S006688    ,Motorcycle,B,1
2021S005747    ,Bicycle,B,1
2021S007619    ,Tourism,B,1
2022S000182    ,Ciclomotor,B,1
2021S003129    ,Motorcycle,A2,1
2021S001286    ,Ciclomotor,B,1
2021S005978    ,Bicycle,B,1
2021S004661    ,Tourism,B,1
2021S002055    ,Motorcycle,A2,1
2021S005803    ,Tourism,B,1
2022S005064    ,Tourism,B,1
2021S007493    ,Tourism,B,1
2021S004792    ,Tourism,B,1
2022S007870    ,Motorcycle,A2,1
2021S004383    ,Tourism,B,1
2021S000449    ,Motorcycle,B,1
2021S006085    ,Motorcycle,A,1
2021S003866    ,Tourism,B,1
2021S005435    ,Motorcycle,A1,1
2022S001569    ,Van,B,1
2021S003282    ,Tourism,B,1
2022S007292    ,Tourism,B,1
2021S007162    ,Tourism,B,1
2021S002857    ,Tourism,B,1
2021S002857    ,Tourism,B,1
2021S006525    ,Tourism,B,1
2022S007630    ,Van,B,1
2021S003186    ,Motorcycle,A1,1
2022S007907    ,Motorcycle,A2,1
2021S000727    ,Ciclomotor,B,1
2021S004771    ,Motorcycle,A2,1
2021S005120    ,Motorcycle,A1,1
2021S007474    ,Motorcycle,A2,1
2021S001493    ,Motorcycle,A2,1
2022S002062    ,Tourism,B,1
2022S005069    ,Tractor truck,C,1
2021S005478    ,Ciclomotor,AM,1
2021S005593    ,Motorcycle,A,1
2022S001657    ,Motorcycle,A,1
2021S004598    ,Tourism,B1,1
2021S002558    ,Tourism,B,1
2022S002829    ,Tourism,B,1
2021S004120    ,Motorcycle,A2,1
2022S001030    ,Van,B,1
2021S003035    ,Veh. motor personal mobility,B,1
2021S000289    ,Motorcycle,B,1
2021S000903    ,Tourism,B,1
2022S004266    ,Motorcycle,A2,1
2021S006018    ,Motorcycle,A2,1
2021S002797    ,Motorcycle,A2,1
2022S007451    ,Tourism,B,1
2021S003924    ,Tourism,B,1
2022S001229    ,Van,B,1
2021S005720    ,Motorcycle,A2,1
2021S006011    ,Motorcycle,A2,1
2021S002725    ,Motorcycle,A2,1
2021S004778    ,Van,B,1
2021S006880    ,Motorcycle,A2,1
2021S001494    ,Ciclomotor,B,1
2021S007180    ,Motorcycle,A,1
2021S005663    ,Ciclomotor,B,1
2022S007739    ,Motorcycle,A,1
2022S007739    ,Tourism,B,1
2022S007977    ,Motorcycle,A1,1
2021S002716    ,Ciclomotor,B,1
2021S005333    ,Motorcycle,A2,1
2021S003168    ,Tourism,B,1
2021S003168    ,Motorcycle,A2,1
2021S006550    ,Ciclomotor,B,1
2021S002544    ,Ciclomotor,AM,1
2021S001847    ,Ciclomotor,B,1
2021S002629    ,Tourism,B,1
2021S007382    ,Motorcycle,A2,1
2021S002653    ,Motorcycle,A2,1
2022S001842    ,Motorcycle,A,1
2021S003957    ,Motorcycle,B,1
2021S004396    ,SUV,B,1
2021S004286    ,Veh. motor personal mobility,B,1
2021S003066    ,Motorcycle,A2,1
2021S005801    ,Tourism,B,1
2022S001571    ,Tourism,B,1
2022S001283    ,Ciclomotor,A,1
2021S005659    ,Tourism,B,1
2021S003296    ,Motorcycle,A1,1
2022S003415    ,Ciclomotor,B,1
2021S006168    ,Ciclomotor,C,1
2021S003642    ,Tourism,B,1
2021S002424    ,Tourism,B,1
2022S004454    ,Motorcycle,A2,1
2021S001806    ,Motorcycle,A,1
2021S004090    ,Motorcycle,A2,1
2022S004454    ,Tourism,B,1
2021S001467    ,Tourism,B,1
2022S007806    ,Tourism,B,1
2022S007463    ,Motorcycle,A,1
2021S005149    ,Motorcycle,A1,1
2022S002544    ,Tourism,B,1
2022S000015    ,Ciclomotor,B,1
2021S002664    ,Tourism,B,1
2021S001105    ,Motorcycle,B,1
2022S001579    ,Motorcycle,A1,1
2021S007305    ,Motorcycle,B,1
2021S000613    ,Motorcycle,A,1
2021S003570    ,Tourism,B,1
2022S005239    ,Motorcycle,A2,1
2021S006116    ,Ciclomotor,B,1
2021S001939    ,Ciclomotor,B,1
2021S005659    ,Ciclomotor,B,1
2021S004404    ,Motorcycle,A,1
2022S005361    ,Motorcycle,A2,1
2022S005462    ,Tourism,B,1
2021S004673    ,Motorcycle,A,1
2022S005303    ,Tourism,B,1
2021S005670    ,Ciclomotor,B,1
2022S002978    ,Motorcycle,A2,1
2021S005220    ,Tourism,Unkown,1
2021S005220    ,Motorcycle,A,1
2022S000454    ,Motorcycle,A1,1
2022S005721    ,Tourism,B,1
2021S002827    ,Motorcycle,B,1
2021S001124    ,Motorcycle,A,1
2022S002717    ,Motorcycle,A2,1
2021S005680    ,Bicycle,B,1
2021S004426    ,Motorcycle,B,1
2021S005437    ,Ciclomotor,B,1
2021S003753    ,Tourism,B,1
2021S001685    ,Motorcycle,A2,1
2021S002720    ,Tourism,B,1
2021S002720    ,Tourism,B,1
2022S006419    ,Van,B,1
2021S001752    ,Van,B,1
2022S000365    ,Tourism,B,1
2021S004764    ,Tourism,B,1
2022S001109    ,Tourism,B,1
2021S005844    ,Van,B,1
2022S007122    ,Tourism,B,1
2022S001586    ,Motorcycle,A2,1
2021S004014    ,Ciclomotor,B,1
2021S004337    ,Tourism,B,1
2021S005352    ,Motorcycle,A2,1
2021S003148    ,Motorcycle,A2,1
2021S004053    ,Tourism,B,1
2021S002295    ,Motorcycle,A2,1
2021S006973    ,Ciclomotor,B,1
2021S004473    ,Motorcycle,B,1
2021S004550    ,Tourism,B,1
2021S006210    ,Ciclomotor,AM,1
2021S006511    ,Motorcycle,A2,1
2022S001375    ,Tourism,B,1
2022S004707    ,Motorcycle,A2,1
2022S007726    ,Tourism,B,1
2022S006959    ,Motorcycle,B,1
2021S000882    ,Bus,D,1
2021S006670    ,Motorcycle,A2,1
2021S004480    ,Motorcycle,A2,1
2022S002177    ,Tourism,B,1
2022S007679    ,Motorcycle,A,1
2022S007011    ,Motorcycle,A1,1
2021S007178    ,Tourism,B,1
2022S000349    ,Motorcycle,A2,1
2021S000292    ,Motorcycle,A1,1
2021S005134    ,Ciclomotor,B,1
2022S001410    ,Ciclomotor,B,1
2022S003988    ,Motorcycle,B,1
2022S001114    ,Tourism,B,1
2022S003024    ,Tourism,B,1
2022S005505    ,Rigid truck > 3.5 tonnes,C,1
2022S007094    ,Tourism,B,1
2022S006887    ,Van,B,1
2022S002284    ,Motorcycle,A,1
2022S001982    ,Motorcycle,B,1
2022S006846    ,Motorcycle,B,1
2021S004287    ,Tourism,B,1
2022S002711    ,Tourism,B,1
2021S005326    ,Motorcycle,A1,1
2021S005326    ,Tourism,B,1
2022S001746    ,Tourism,B,1
2022S005159    ,Bicycle,B,1
2022S006902    ,Ciclomotor,B,1
2022S004695    ,Motorcycle,A2,1
2022S002017    ,Tourism,B,1
2022S003966    ,Motorcycle,A,1
2022S002362    ,Motorcycle,A,1
2022S006737    ,Tourism,B,1
2021S006778    ,Ciclomotor,B,1
2022S004885    ,Tourism,B,1
2022S000362    ,Ciclomotor,Llicència,1
2022S004748    ,Motorcycle,A1,1
2022S001619    ,Motorcycle,A,1
2022S001619    ,Tourism,B,1
2022S000333    ,Ciclomotor,B,1
2022S000656    ,Motorcycle,A2,1
2021S006027    ,Motorcycle,A2,1
2022S002940    ,Tourism,B,1
2022S000727    ,Motorcycle,A2,1
2022S003421    ,Motorcycle,A2,1
2022S006318    ,Ciclomotor,B,1
2021S004699    ,Motorcycle,B,1
2021S005520    ,Tourism,B,1
2022S000524    ,Ciclomotor,B,1
2022S000471    ,Tourism,B,1
2022S002029    ,Veh. motor personal mobility,B,1
2022S003034    ,Motorcycle,B,1
2022S003497    ,Ciclomotor,AM,1
2022S001881    ,Ciclomotor,B,1
2022S004534    ,Motorcycle,B,1
2021S002759    ,Motorcycle,A2,1
2021S006778    ,Tourism,B,1
2021S000442    ,Ciclomotor,B,1
2022S004984    ,Motorcycle,B,1
2021S000413    ,Motorcycle,A,1
2022S003713    ,Tourism,B,1
2022S000651    ,Motorcycle,A2,1
2022S006702    ,Motorcycle,B,1
2022S004253    ,Ciclomotor,B,1
2022S001168    ,Tourism,B,1
2022S006083    ,Tourism,B,1
2022S001968    ,Motorcycle,A,1
2022S001506    ,Van,B,1
2022S001028    ,Motorcycle,A,1
2022S006376    ,Motorcycle,B,1
2022S006142    ,Tourism,B,1
2022S004456    ,Veh. motor personal mobility,B,1
2021S007581    ,Motorcycle,A1,1
2022S002862    ,Tourism,B,1
2021S004410    ,Tourism,B,1
2022S005302    ,Ciclomotor,B,1
2022S000556    ,Tourism,B,1
2022S001088    ,Tourism,B,1
2021S007573    ,Motorcycle,A2,1
2022S006078    ,Tourism,B,1
2021S003663    ,Ciclomotor,B,1
2022S006147    ,Ciclomotor,AM,1
2022S000062    ,Tourism,B,1
2022S004134    ,Motorcycle,B,1
2022S000509    ,Tourism,B,1
2022S004305    ,Tourism,B,1
2022S006123    ,Tourism,B,1
2021S005648    ,Van,B,1
2022S001669    ,Motorcycle,A2,1
2021S003818    ,Tourism,B,1
2022S002485    ,Motorcycle,B,1
2022S004045    ,Tourism,B,1
2022S000034    ,Ciclomotor,B,1
2022S004077    ,Motorcycle,A2,1
2022S004222    ,Ciclomotor,B,1
2022S007154    ,Motorcycle,A,1
2022S003571    ,Motorcycle,A2,1
2021S007364    ,Veh. motor personal mobility,B,1
2021S005805    ,Tourism,B,1
2022S003460    ,Motorcycle,A2,1
2021S005419    ,Ciclomotor,B,1
2022S001698    ,Veh. motor personal mobility,B,1
