Numero_expedient,Descripcio_causa_mediata
2021S004389    ,No hi ha causa mediata
2021S004394    ,No hi ha causa mediata
2021S004386    ,No hi ha causa mediata
2021S004401    ,Alcoholèmia
2021S004397    ,No hi ha causa mediata
2021S004392    ,No hi ha causa mediata
2021S004404    ,No hi ha causa mediata
2021S004395    ,No hi ha causa mediata
2021S004385    ,Alcoholèmia
2021S004388    ,No hi ha causa mediata
2021S004398    ,No hi ha causa mediata
2021S004405    ,No hi ha causa mediata
2021S004390    ,No hi ha causa mediata
2021S004400    ,Alcoholèmia
2021S004396    ,No hi ha causa mediata
2021S004399    ,No hi ha causa mediata
2021S004393    ,Alcoholèmia
2021S004408    ,No hi ha causa mediata
2021S004426    ,No hi ha causa mediata
2021S004417    ,No hi ha causa mediata
2021S004418    ,Alcoholèmia
2021S004414    ,No hi ha causa mediata
2021S004415    ,No hi ha causa mediata
2021S004416    ,No hi ha causa mediata
2021S004412    ,No hi ha causa mediata
2021S004439    ,No hi ha causa mediata
2021S004419    ,No hi ha causa mediata
2021S004413    ,No hi ha causa mediata
2021S004420    ,No hi ha causa mediata
2021S004410    ,No hi ha causa mediata
2021S004421    ,No hi ha causa mediata
2021S004407    ,No hi ha causa mediata
2021S004406    ,No hi ha causa mediata
2021S004411    ,No hi ha causa mediata
2021S004429    ,No hi ha causa mediata
2021S004428    ,No hi ha causa mediata
2021S004436    ,No hi ha causa mediata
2021S004423    ,No hi ha causa mediata
2021S004427    ,No hi ha causa mediata
2021S004434    ,No hi ha causa mediata
2021S004432    ,No hi ha causa mediata
2021S004431    ,No hi ha causa mediata
2021S004435    ,No hi ha causa mediata
2021S004430    ,No hi ha causa mediata
2021S004425    ,No hi ha causa mediata
2021S004433    ,No hi ha causa mediata
2021S004424    ,No hi ha causa mediata
2021S004422    ,Excés de velocitat o inadequada
2021S004438    ,No hi ha causa mediata
2021S004441    ,No hi ha causa mediata
2021S004442    ,No hi ha causa mediata
2021S004440    ,No hi ha causa mediata
2021S004437    ,No hi ha causa mediata
2021S004451    ,No hi ha causa mediata
2021S004457    ,No hi ha causa mediata
2021S004446    ,Alcoholèmia
2021S004454    ,No hi ha causa mediata
2021S004445    ,No hi ha causa mediata
2021S004444    ,Alcoholèmia
2021S004460    ,No hi ha causa mediata
2021S004462    ,No hi ha causa mediata
2021S004456    ,No hi ha causa mediata
2021S004459    ,No hi ha causa mediata
2021S004450    ,No hi ha causa mediata
2021S004455    ,No hi ha causa mediata
2021S004448    ,No hi ha causa mediata
2021S004461    ,No hi ha causa mediata
2021S004443    ,No hi ha causa mediata
2021S004453    ,No hi ha causa mediata
2021S004463    ,No hi ha causa mediata
2021S004447    ,No hi ha causa mediata
2021S004452    ,No hi ha causa mediata
2021S004449    ,No hi ha causa mediata
2021S004458    ,No hi ha causa mediata
2021S004473    ,No hi ha causa mediata
2021S004465    ,No hi ha causa mediata
2021S004476    ,No hi ha causa mediata
2021S004468    ,No hi ha causa mediata
2021S004471    ,No hi ha causa mediata
2021S004464    ,Alcoholèmia
2021S004469    ,No hi ha causa mediata
2021S004466    ,No hi ha causa mediata
2021S004467    ,No hi ha causa mediata
2021S004477    ,No hi ha causa mediata
2021S004487    ,No hi ha causa mediata
2021S004474    ,Excés de velocitat o inadequada
2021S004470    ,No hi ha causa mediata
2021S004475    ,No hi ha causa mediata
2021S004478    ,No hi ha causa mediata
2021S004472    ,No hi ha causa mediata
2021S004484    ,No hi ha causa mediata
2021S004492    ,No hi ha causa mediata
2021S004490    ,No hi ha causa mediata
2021S004482    ,No hi ha causa mediata
2021S004483    ,No hi ha causa mediata
2021S004479    ,Alcoholèmia
2021S004481    ,Objectes o animals a la calçada
2021S004480    ,No hi ha causa mediata
2021S004494    ,No hi ha causa mediata
2021S004486    ,No hi ha causa mediata
2021S004489    ,No hi ha causa mediata
2021S004493    ,No hi ha causa mediata
2021S004485    ,No hi ha causa mediata
2021S004491    ,No hi ha causa mediata
2021S004488    ,No hi ha causa mediata
2021S004498    ,No hi ha causa mediata
2021S004499    ,No hi ha causa mediata
2021S004512    ,No hi ha causa mediata
2021S004501    ,No hi ha causa mediata
2021S004510    ,No hi ha causa mediata
2021S004506    ,No hi ha causa mediata
2021S004496    ,No hi ha causa mediata
2021S004507    ,No hi ha causa mediata
2021S004511    ,No hi ha causa mediata
2021S004508    ,No hi ha causa mediata
2021S004513    ,No hi ha causa mediata
2021S004509    ,No hi ha causa mediata
2021S004495    ,Alcoholèmia
2021S004500    ,No hi ha causa mediata
2021S004514    ,No hi ha causa mediata
2021S004505    ,No hi ha causa mediata
2021S004497    ,No hi ha causa mediata
2021S004504    ,No hi ha causa mediata
2021S004515    ,No hi ha causa mediata
2021S004503    ,No hi ha causa mediata
2021S004502    ,No hi ha causa mediata
2021S004529    ,No hi ha causa mediata
2021S004522    ,No hi ha causa mediata
2021S004517    ,No hi ha causa mediata
2021S004521    ,No hi ha causa mediata
2021S004531    ,No hi ha causa mediata
2021S004528    ,Alcoholèmia
2021S004541    ,No hi ha causa mediata
2021S004527    ,No hi ha causa mediata
2021S004526    ,No hi ha causa mediata
2021S004516    ,No hi ha causa mediata
2021S004530    ,Alcoholèmia
2021S004524    ,No hi ha causa mediata
2021S004525    ,Alcoholèmia
2021S004535    ,No hi ha causa mediata
2021S004601    ,No hi ha causa mediata
2021S004523    ,No hi ha causa mediata
2021S004520    ,No hi ha causa mediata
2021S004533    ,No hi ha causa mediata
2021S004532    ,Drogues o medicaments
2021S004519    ,No hi ha causa mediata
2021S004518    ,No hi ha causa mediata
2021S004542    ,No hi ha causa mediata
2021S004550    ,No hi ha causa mediata
2021S004540    ,No hi ha causa mediata
2021S004544    ,No hi ha causa mediata
2021S004546    ,No hi ha causa mediata
2021S004537    ,No hi ha causa mediata
2021S004545    ,No hi ha causa mediata
2021S004539    ,No hi ha causa mediata
2021S004538    ,No hi ha causa mediata
2021S004534    ,No hi ha causa mediata
2021S004547    ,Excés de velocitat o inadequada
2021S004536    ,No hi ha causa mediata
2021S004560    ,No hi ha causa mediata
2021S004552    ,No hi ha causa mediata
2021S004555    ,No hi ha causa mediata
2021S004553    ,No hi ha causa mediata
2021S004549    ,No hi ha causa mediata
2021S004548    ,Alcoholèmia
2021S004551    ,No hi ha causa mediata
2021S004571    ,No hi ha causa mediata
2021S004558    ,No hi ha causa mediata
2021S004569    ,No hi ha causa mediata
2021S004570    ,No hi ha causa mediata
2021S004562    ,No hi ha causa mediata
2021S004561    ,No hi ha causa mediata
2021S004566    ,No hi ha causa mediata
2021S004556    ,Alcoholèmia
2021S004567    ,No hi ha causa mediata
2021S004559    ,No hi ha causa mediata
2021S004557    ,Alcoholèmia
2021S004564    ,No hi ha causa mediata
2021S004563    ,No hi ha causa mediata
2021S004568    ,No hi ha causa mediata
2021S004565    ,No hi ha causa mediata
2021S004572    ,No hi ha causa mediata
2021S004582    ,No hi ha causa mediata
2021S004579    ,No hi ha causa mediata
2021S004574    ,No hi ha causa mediata
2021S004581    ,No hi ha causa mediata
2021S004583    ,No hi ha causa mediata
2021S004578    ,No hi ha causa mediata
2021S004586    ,No hi ha causa mediata
2021S004576    ,No hi ha causa mediata
2021S004585    ,No hi ha causa mediata
2021S004580    ,Calçada en mal estat
2021S004590    ,No hi ha causa mediata
2021S004577    ,No hi ha causa mediata
2021S004584    ,No hi ha causa mediata
2021S004589    ,No hi ha causa mediata
2021S004573    ,No hi ha causa mediata
2021S004575    ,No hi ha causa mediata
2021S004593    ,No hi ha causa mediata
2021S004597    ,No hi ha causa mediata
2021S004554    ,No hi ha causa mediata
2021S004595    ,No hi ha causa mediata
2021S004600    ,No hi ha causa mediata
2021S004591    ,No hi ha causa mediata
2021S004587    ,No hi ha causa mediata
2021S004594    ,No hi ha causa mediata
2021S004588    ,No hi ha causa mediata
2021S004592    ,No hi ha causa mediata
2021S004609    ,No hi ha causa mediata
2021S004610    ,No hi ha causa mediata
2021S004606    ,No hi ha causa mediata
2021S004599    ,No hi ha causa mediata
2021S004603    ,No hi ha causa mediata
2021S004608    ,No hi ha causa mediata
2021S004605    ,No hi ha causa mediata
2021S004598    ,No hi ha causa mediata
2021S004612    ,No hi ha causa mediata
2021S004602    ,No hi ha causa mediata
2021S004611    ,Alcoholèmia
2021S004596    ,No hi ha causa mediata
2021S004607    ,No hi ha causa mediata
2021S004613    ,No hi ha causa mediata
2021S004604    ,No hi ha causa mediata
2021S004615    ,No hi ha causa mediata
2021S004630    ,No hi ha causa mediata
2021S004631    ,No hi ha causa mediata
2021S004629    ,No hi ha causa mediata
2021S004633    ,No hi ha causa mediata
2021S004625    ,No hi ha causa mediata
2021S004626    ,No hi ha causa mediata
2021S004620    ,Objectes o animals a la calçada
2021S004618    ,Alcoholèmia
2021S004616    ,No hi ha causa mediata
2021S004623    ,No hi ha causa mediata
2021S004628    ,No hi ha causa mediata
2021S004617    ,Alcoholèmia
2021S004635    ,No hi ha causa mediata
2021S004627    ,No hi ha causa mediata
2021S004632    ,No hi ha causa mediata
2021S004614    ,Alcoholèmia
2021S004619    ,No hi ha causa mediata
2021S004621    ,Excés de velocitat o inadequada
2021S004624    ,No hi ha causa mediata
2021S004622    ,No hi ha causa mediata
2021S004634    ,Excés de velocitat o inadequada
2021S004643    ,No hi ha causa mediata
2021S004642    ,Alcoholèmia
2021S004647    ,No hi ha causa mediata
2021S004637    ,No hi ha causa mediata
2021S004639    ,No hi ha causa mediata
2021S004641    ,No hi ha causa mediata
2021S004636    ,No hi ha causa mediata
2021S004638    ,No hi ha causa mediata
2021S004640    ,No hi ha causa mediata
2021S004646    ,No hi ha causa mediata
2021S004644    ,No hi ha causa mediata
2021S004654    ,No hi ha causa mediata
2021S004645    ,Objectes o animals a la calçada
2021S004648    ,Alcoholèmia
2021S004652    ,No hi ha causa mediata
2021S004659    ,No hi ha causa mediata
2021S004650    ,No hi ha causa mediata
2021S004653    ,Excés de velocitat o inadequada
2021S004651    ,No hi ha causa mediata
2021S004658    ,No hi ha causa mediata
2021S004660    ,Alcoholèmia
2021S004657    ,No hi ha causa mediata
2021S004649    ,No hi ha causa mediata
2021S004656    ,No hi ha causa mediata
2021S004655    ,No hi ha causa mediata
2021S004668    ,No hi ha causa mediata
2021S004663    ,No hi ha causa mediata
2021S004665    ,No hi ha causa mediata
2021S004669    ,Calçada en mal estat
2021S004670    ,No hi ha causa mediata
2021S004661    ,No hi ha causa mediata
2021S004667    ,No hi ha causa mediata
2021S004662    ,No hi ha causa mediata
2021S004666    ,No hi ha causa mediata
2021S004671    ,No hi ha causa mediata
2021S004664    ,No hi ha causa mediata
2021S004679    ,No hi ha causa mediata
2021S004678    ,No hi ha causa mediata
2021S004680    ,No hi ha causa mediata
2021S004684    ,No hi ha causa mediata
2021S004672    ,No hi ha causa mediata
2021S004673    ,No hi ha causa mediata
2021S004683    ,No hi ha causa mediata
2021S004674    ,No hi ha causa mediata
2021S004675    ,Alcoholèmia
2021S004686    ,No hi ha causa mediata
2021S004681    ,No hi ha causa mediata
2021S004676    ,No hi ha causa mediata
2021S004682    ,No hi ha causa mediata
2021S004685    ,No hi ha causa mediata
2021S004677    ,No hi ha causa mediata
2021S004704    ,No hi ha causa mediata
2021S004696    ,No hi ha causa mediata
2021S004692    ,No hi ha causa mediata
2021S004687    ,Calçada en mal estat
2021S004693    ,No hi ha causa mediata
2021S004811    ,No hi ha causa mediata
2021S004700    ,No hi ha causa mediata
2021S004702    ,No hi ha causa mediata
2021S004703    ,No hi ha causa mediata
2021S004690    ,No hi ha causa mediata
2021S004695    ,No hi ha causa mediata
2021S004691    ,No hi ha causa mediata
2021S004699    ,No hi ha causa mediata
2021S004688    ,Alcoholèmia
2021S004694    ,No hi ha causa mediata
2021S004689    ,No hi ha causa mediata
2021S004697    ,No hi ha causa mediata
2021S004698    ,No hi ha causa mediata
2021S004701    ,No hi ha causa mediata
2021S004710    ,No hi ha causa mediata
2021S004724    ,No hi ha causa mediata
2021S004720    ,No hi ha causa mediata
2021S004707    ,No hi ha causa mediata
2021S004718    ,No hi ha causa mediata
2021S004706    ,No hi ha causa mediata
2021S004723    ,No hi ha causa mediata
2021S004717    ,No hi ha causa mediata
2021S004712    ,No hi ha causa mediata
2021S004705    ,No hi ha causa mediata
2021S004730    ,No hi ha causa mediata
2021S004722    ,No hi ha causa mediata
2021S004713    ,No hi ha causa mediata
2021S004543    ,No hi ha causa mediata
2021S004715    ,No hi ha causa mediata
2021S004714    ,No hi ha causa mediata
2021S004708    ,No hi ha causa mediata
2021S004716    ,No hi ha causa mediata
2021S004721    ,No hi ha causa mediata
2021S004711    ,No hi ha causa mediata
2021S004719    ,No hi ha causa mediata
2021S004709    ,No hi ha causa mediata
2021S004728    ,No hi ha causa mediata
2021S004740    ,No hi ha causa mediata
2021S004736    ,Excés de velocitat o inadequada
2021S004741    ,No hi ha causa mediata
2021S004732    ,No hi ha causa mediata
2021S004731    ,No hi ha causa mediata
2021S004726    ,No hi ha causa mediata
2021S004737    ,No hi ha causa mediata
2021S004725    ,No hi ha causa mediata
2021S004735    ,No hi ha causa mediata
2021S004734    ,Alcoholèmia
2021S004727    ,No hi ha causa mediata
2021S004742    ,No hi ha causa mediata
2021S004756    ,No hi ha causa mediata
2021S004729    ,No hi ha causa mediata
2021S004738    ,No hi ha causa mediata
2021S004733    ,No hi ha causa mediata
2021S004739    ,No hi ha causa mediata
2021S004753    ,No hi ha causa mediata
2021S004754    ,No hi ha causa mediata
2021S004750    ,No hi ha causa mediata
2021S004745    ,No hi ha causa mediata
2021S004752    ,No hi ha causa mediata
2021S004747    ,No hi ha causa mediata
2021S004749    ,No hi ha causa mediata
2021S004751    ,No hi ha causa mediata
2021S004748    ,No hi ha causa mediata
2021S004755    ,No hi ha causa mediata
2021S004744    ,Alcoholèmia
2021S004746    ,No hi ha causa mediata
2021S004743    ,Alcoholèmia
2021S004759    ,No hi ha causa mediata
2021S004758    ,No hi ha causa mediata
2021S004761    ,No hi ha causa mediata
2021S004760    ,No hi ha causa mediata
2021S004996    ,No hi ha causa mediata
2021S004763    ,No hi ha causa mediata
2021S004757    ,Alcoholèmia
2021S004762    ,No hi ha causa mediata
2021S004814    ,No hi ha causa mediata
2021S004777    ,No hi ha causa mediata
2021S004774    ,No hi ha causa mediata
2021S004773    ,No hi ha causa mediata
2021S004786    ,No hi ha causa mediata
2021S004772    ,No hi ha causa mediata
2021S004771    ,No hi ha causa mediata
2021S004764    ,Alcoholèmia
2021S004778    ,No hi ha causa mediata
2021S004775    ,No hi ha causa mediata
2021S004791    ,No hi ha causa mediata
2021S004767    ,No hi ha causa mediata
2021S004766    ,No hi ha causa mediata
2021S003146    ,No hi ha causa mediata
2021S004765    ,No hi ha causa mediata
2021S004770    ,No hi ha causa mediata
2021S004768    ,No hi ha causa mediata
2021S004769    ,No hi ha causa mediata
2021S004776    ,No hi ha causa mediata
2021S004789    ,No hi ha causa mediata
2021S004787    ,No hi ha causa mediata
2021S004801    ,No hi ha causa mediata
2021S004793    ,No hi ha causa mediata
2021S004780    ,No hi ha causa mediata
2021S004800    ,No hi ha causa mediata
2021S004783    ,No hi ha causa mediata
2021S004799    ,No hi ha causa mediata
2021S004790    ,No hi ha causa mediata
2021S004779    ,No hi ha causa mediata
2021S004796    ,Objectes o animals a la calçada
2021S004781    ,Calçada en mal estat
2021S004795    ,No hi ha causa mediata
2021S004784    ,No hi ha causa mediata
2021S004798    ,No hi ha causa mediata
2021S004785    ,No hi ha causa mediata
2021S004792    ,No hi ha causa mediata
2021S004788    ,No hi ha causa mediata
2021S004797    ,No hi ha causa mediata
2021S004794    ,No hi ha causa mediata
2021S004782    ,No hi ha causa mediata
2021S004804    ,No hi ha causa mediata
2021S004816    ,No hi ha causa mediata
2021S004810    ,No hi ha causa mediata
2021S004809    ,No hi ha causa mediata
2021S004808    ,No hi ha causa mediata
2021S004803    ,No hi ha causa mediata
2021S004817    ,Alcoholèmia
2021S004812    ,No hi ha causa mediata
2021S004818    ,No hi ha causa mediata
2021S004806    ,No hi ha causa mediata
2021S004813    ,No hi ha causa mediata
2021S004802    ,No hi ha causa mediata
2021S004805    ,No hi ha causa mediata
2021S004807    ,No hi ha causa mediata
2021S004815    ,No hi ha causa mediata
2021S004822    ,No hi ha causa mediata
2021S004837    ,No hi ha causa mediata
2021S004846    ,No hi ha causa mediata
2021S004821    ,No hi ha causa mediata
2021S004819    ,Alcoholèmia
2021S004825    ,No hi ha causa mediata
2021S004835    ,No hi ha causa mediata
2021S004823    ,No hi ha causa mediata
2021S004832    ,No hi ha causa mediata
2021S004833    ,No hi ha causa mediata
2021S004828    ,No hi ha causa mediata
2021S004831    ,No hi ha causa mediata
2021S004829    ,No hi ha causa mediata
2021S004830    ,No hi ha causa mediata
2021S004836    ,No hi ha causa mediata
2021S004834    ,No hi ha causa mediata
2021S004826    ,No hi ha causa mediata
2021S004824    ,No hi ha causa mediata
2021S004827    ,No hi ha causa mediata
2021S004820    ,No hi ha causa mediata
2021S004852    ,No hi ha causa mediata
2021S004840    ,No hi ha causa mediata
2021S004838    ,No hi ha causa mediata
2021S004856    ,No hi ha causa mediata
2021S004855    ,No hi ha causa mediata
2021S004849    ,No hi ha causa mediata
2021S004853    ,No hi ha causa mediata
2021S004842    ,No hi ha causa mediata
2021S004848    ,No hi ha causa mediata
2021S004839    ,No hi ha causa mediata
2021S004843    ,No hi ha causa mediata
2021S004850    ,No hi ha causa mediata
2021S004847    ,No hi ha causa mediata
2021S004851    ,No hi ha causa mediata
2021S004845    ,No hi ha causa mediata
2021S004854    ,No hi ha causa mediata
2021S004844    ,No hi ha causa mediata
2021S004857    ,No hi ha causa mediata
2021S004841    ,No hi ha causa mediata
2021S004860    ,No hi ha causa mediata
2021S004870    ,Alcoholèmia
2021S004859    ,No hi ha causa mediata
2021S004868    ,No hi ha causa mediata
2021S005068    ,No hi ha causa mediata
2021S004861    ,No hi ha causa mediata
2021S004866    ,No hi ha causa mediata
2021S004863    ,No hi ha causa mediata
2021S004872    ,Alcoholèmia
2021S004873    ,No hi ha causa mediata
2021S004864    ,No hi ha causa mediata
2021S004858    ,No hi ha causa mediata
2021S004865    ,No hi ha causa mediata
2021S004862    ,No hi ha causa mediata
2021S004869    ,No hi ha causa mediata
2021S004871    ,No hi ha causa mediata
2021S004874    ,No hi ha causa mediata
2021S004867    ,No hi ha causa mediata
2021S004876    ,No hi ha causa mediata
2021S004878    ,No hi ha causa mediata
2021S004879    ,No hi ha causa mediata
2021S004883    ,No hi ha causa mediata
2021S004882    ,No hi ha causa mediata
2021S004884    ,Alcoholèmia
2021S004877    ,No hi ha causa mediata
2021S004881    ,No hi ha causa mediata
2021S004875    ,No hi ha causa mediata
2021S004880    ,No hi ha causa mediata
2021S004885    ,Alcoholèmia
2021S004893    ,No hi ha causa mediata
2021S004890    ,No hi ha causa mediata
2021S004892    ,No hi ha causa mediata
2021S004902    ,No hi ha causa mediata
2021S004900    ,No hi ha causa mediata
2021S004897    ,No hi ha causa mediata
2021S004889    ,No hi ha causa mediata
2021S004904    ,No hi ha causa mediata
2021S004894    ,No hi ha causa mediata
2021S004899    ,No hi ha causa mediata
2021S004888    ,No hi ha causa mediata
2021S004903    ,No hi ha causa mediata
2021S004901    ,No hi ha causa mediata
2021S004905    ,No hi ha causa mediata
2021S004886    ,Alcoholèmia
2021S004895    ,No hi ha causa mediata
2021S004891    ,No hi ha causa mediata
2021S004898    ,No hi ha causa mediata
2021S004887    ,Alcoholèmia
2021S004909    ,No hi ha causa mediata
2021S004896    ,No hi ha causa mediata
2021S004911    ,No hi ha causa mediata
2021S004923    ,No hi ha causa mediata
2021S004908    ,No hi ha causa mediata
2021S004928    ,No hi ha causa mediata
2021S004925    ,No hi ha causa mediata
2021S004915    ,No hi ha causa mediata
2021S004919    ,No hi ha causa mediata
2021S004926    ,No hi ha causa mediata
2021S004916    ,No hi ha causa mediata
2021S004941    ,No hi ha causa mediata
2021S004913    ,No hi ha causa mediata
2021S004920    ,No hi ha causa mediata
2021S004921    ,No hi ha causa mediata
2021S004927    ,No hi ha causa mediata
2021S004930    ,Alcoholèmia
2021S004914    ,No hi ha causa mediata
2021S004906    ,Alcoholèmia
2021S004922    ,No hi ha causa mediata
2021S004907    ,No hi ha causa mediata
2021S004929    ,No hi ha causa mediata
2021S004918    ,Drogues o medicaments
2021S004917    ,No hi ha causa mediata
2021S004924    ,Alcoholèmia
2021S004912    ,No hi ha causa mediata
2021S004910    ,No hi ha causa mediata
2021S004939    ,No hi ha causa mediata
2021S004935    ,No hi ha causa mediata
2021S004950    ,Alcoholèmia
2021S004952    ,No hi ha causa mediata
2021S004953    ,No hi ha causa mediata
2021S004947    ,No hi ha causa mediata
2021S004958    ,No hi ha causa mediata
2021S004946    ,No hi ha causa mediata
2021S004932    ,No hi ha causa mediata
2021S004933    ,Calçada en mal estat
2021S004948    ,No hi ha causa mediata
2021S004942    ,No hi ha causa mediata
2021S005109    ,No hi ha causa mediata
2021S004934    ,No hi ha causa mediata
2021S004967    ,No hi ha causa mediata
2021S004940    ,No hi ha causa mediata
2021S004957    ,Calçada en mal estat
2021S004960    ,No hi ha causa mediata
2021S004955    ,No hi ha causa mediata
2021S004944    ,No hi ha causa mediata
2021S004938    ,No hi ha causa mediata
2021S004937    ,No hi ha causa mediata
2021S004951    ,No hi ha causa mediata
2021S004949    ,No hi ha causa mediata
2021S004936    ,No hi ha causa mediata
2021S004956    ,No hi ha causa mediata
2021S004945    ,No hi ha causa mediata
2021S004943    ,No hi ha causa mediata
2021S004954    ,No hi ha causa mediata
2021S004931    ,Alcoholèmia
2021S004966    ,Calçada en mal estat
2021S004973    ,No hi ha causa mediata
2021S004974    ,No hi ha causa mediata
2021S004977    ,No hi ha causa mediata
2021S004961    ,No hi ha causa mediata
2021S004979    ,Alcoholèmia
2021S004982    ,No hi ha causa mediata
2021S004968    ,No hi ha causa mediata
2021S004969    ,No hi ha causa mediata
2021S004975    ,No hi ha causa mediata
2021S004980    ,No hi ha causa mediata
2021S004963    ,No hi ha causa mediata
2021S004985    ,No hi ha causa mediata
2021S004965    ,No hi ha causa mediata
2021S004962    ,No hi ha causa mediata
2021S004970    ,No hi ha causa mediata
2021S004964    ,No hi ha causa mediata
2021S004959    ,No hi ha causa mediata
2021S004972    ,No hi ha causa mediata
2021S004981    ,No hi ha causa mediata
2021S004971    ,No hi ha causa mediata
2021S004976    ,No hi ha causa mediata
2021S004978    ,No hi ha causa mediata
2021S005006    ,No hi ha causa mediata
2021S004989    ,No hi ha causa mediata
2021S005010    ,No hi ha causa mediata
2021S004998    ,No hi ha causa mediata
2021S005004    ,Factors meteorològics
2021S004984    ,No hi ha causa mediata
2021S004999    ,No hi ha causa mediata
2021S005009    ,No hi ha causa mediata
2021S005003    ,No hi ha causa mediata
2021S004988    ,No hi ha causa mediata
2021S004994    ,No hi ha causa mediata
2021S004990    ,No hi ha causa mediata
2021S004997    ,No hi ha causa mediata
2021S005007    ,No hi ha causa mediata
2021S004995    ,No hi ha causa mediata
2021S004991    ,No hi ha causa mediata
2021S005011    ,No hi ha causa mediata
2021S005005    ,No hi ha causa mediata
2021S004987    ,No hi ha causa mediata
2021S005008    ,Alcoholèmia
2021S004992    ,No hi ha causa mediata
2021S005001    ,No hi ha causa mediata
2021S004993    ,No hi ha causa mediata
2021S005002    ,No hi ha causa mediata
2021S004986    ,No hi ha causa mediata
2021S004983    ,No hi ha causa mediata
2021S005013    ,No hi ha causa mediata
2021S005021    ,No hi ha causa mediata
2021S005020    ,No hi ha causa mediata
2021S005000    ,No hi ha causa mediata
2021S005015    ,No hi ha causa mediata
2021S005012    ,No hi ha causa mediata
2021S005016    ,No hi ha causa mediata
2021S005023    ,No hi ha causa mediata
2021S005019    ,No hi ha causa mediata
2021S005014    ,Alcoholèmia
2021S005022    ,No hi ha causa mediata
2021S005017    ,Alcoholèmia
2021S005035    ,No hi ha causa mediata
2021S005031    ,No hi ha causa mediata
2021S005034    ,No hi ha causa mediata
2021S005029    ,No hi ha causa mediata
2021S005030    ,No hi ha causa mediata
2021S005037    ,No hi ha causa mediata
2021S005040    ,No hi ha causa mediata
2021S005027    ,No hi ha causa mediata
2021S005042    ,No hi ha causa mediata
2021S005044    ,No hi ha causa mediata
2021S005025    ,Alcoholèmia
2021S005032    ,No hi ha causa mediata
2021S005043    ,No hi ha causa mediata
2021S005033    ,No hi ha causa mediata
2021S005038    ,No hi ha causa mediata
2021S005039    ,No hi ha causa mediata
2021S005028    ,No hi ha causa mediata
2021S005048    ,No hi ha causa mediata
2021S005041    ,No hi ha causa mediata
2021S005024    ,Alcoholèmia
2021S005026    ,Alcoholèmia
2021S005036    ,Alcoholèmia
2021S005069    ,No hi ha causa mediata
2021S005061    ,No hi ha causa mediata
2021S005071    ,No hi ha causa mediata
2021S005052    ,No hi ha causa mediata
2021S005051    ,No hi ha causa mediata
2021S005053    ,No hi ha causa mediata
2021S005060    ,No hi ha causa mediata
2021S005089    ,No hi ha causa mediata
2021S005047    ,Alcoholèmia
2021S005067    ,No hi ha causa mediata
2021S005072    ,No hi ha causa mediata
2021S005058    ,No hi ha causa mediata
2021S005070    ,No hi ha causa mediata
2021S005059    ,No hi ha causa mediata
2021S005066    ,No hi ha causa mediata
2021S005062    ,No hi ha causa mediata
2021S005057    ,No hi ha causa mediata
2021S005055    ,No hi ha causa mediata
2021S005054    ,No hi ha causa mediata
2021S005049    ,No hi ha causa mediata
2021S005046    ,Alcoholèmia
2021S005050    ,No hi ha causa mediata
2021S005045    ,No hi ha causa mediata
2021S005056    ,No hi ha causa mediata
2021S005065    ,No hi ha causa mediata
2021S005073    ,No hi ha causa mediata
2021S005063    ,No hi ha causa mediata
2021S005086    ,No hi ha causa mediata
2021S005081    ,No hi ha causa mediata
2021S005087    ,No hi ha causa mediata
2021S005088    ,No hi ha causa mediata
2021S005077    ,No hi ha causa mediata
2021S005085    ,No hi ha causa mediata
2021S005076    ,No hi ha causa mediata
2021S005083    ,Excés de velocitat o inadequada
2021S005084    ,No hi ha causa mediata
2021S005080    ,No hi ha causa mediata
2021S005090    ,No hi ha causa mediata
2021S005075    ,No hi ha causa mediata
2021S005082    ,No hi ha causa mediata
2021S005074    ,No hi ha causa mediata
2021S005078    ,No hi ha causa mediata
2021S005079    ,No hi ha causa mediata
2021S005091    ,No hi ha causa mediata
2021S005118    ,No hi ha causa mediata
2021S005099    ,No hi ha causa mediata
2021S005095    ,No hi ha causa mediata
2021S005096    ,No hi ha causa mediata
2021S005097    ,No hi ha causa mediata
2021S005102    ,No hi ha causa mediata
2021S005100    ,No hi ha causa mediata
2021S005122    ,No hi ha causa mediata
2021S005107    ,No hi ha causa mediata
2021S005105    ,No hi ha causa mediata
2021S005110    ,No hi ha causa mediata
2021S005116    ,No hi ha causa mediata
2021S005093    ,No hi ha causa mediata
2021S005106    ,No hi ha causa mediata
2021S005121    ,No hi ha causa mediata
2021S005112    ,No hi ha causa mediata
2021S005113    ,No hi ha causa mediata
2021S005108    ,No hi ha causa mediata
2021S005123    ,No hi ha causa mediata
2021S005120    ,No hi ha causa mediata
2021S005104    ,No hi ha causa mediata
2021S005094    ,No hi ha causa mediata
2021S005103    ,No hi ha causa mediata
2021S005101    ,No hi ha causa mediata
2021S005119    ,Alcoholèmia
2021S005115    ,No hi ha causa mediata
2021S005092    ,No hi ha causa mediata
2021S005117    ,No hi ha causa mediata
2021S005111    ,No hi ha causa mediata
2021S005114    ,Alcoholèmia
2021S005098    ,No hi ha causa mediata
2021S005144    ,No hi ha causa mediata
2021S005141    ,No hi ha causa mediata
2021S005124    ,No hi ha causa mediata
2021S005140    ,No hi ha causa mediata
2021S005130    ,No hi ha causa mediata
2021S005125    ,No hi ha causa mediata
2021S005138    ,No hi ha causa mediata
