Numero_expedient,Descripcio_causa_mediata
2021S000171    ,No hi ha causa mediata
2021S000162    ,No hi ha causa mediata
2021S000166    ,No hi ha causa mediata
2021S000169    ,No hi ha causa mediata
2021S000164    ,No hi ha causa mediata
2021S000167    ,No hi ha causa mediata
2021S000260    ,No hi ha causa mediata
2021S000168    ,No hi ha causa mediata
2021S000175    ,No hi ha causa mediata
2021S000178    ,No hi ha causa mediata
2021S000160    ,No hi ha causa mediata
2021S000179    ,No hi ha causa mediata
2021S000190    ,No hi ha causa mediata
2021S000194    ,No hi ha causa mediata
2021S000187    ,No hi ha causa mediata
2021S000189    ,No hi ha causa mediata
2021S000181    ,No hi ha causa mediata
2021S000196    ,No hi ha causa mediata
2021S000183    ,No hi ha causa mediata
2021S000193    ,No hi ha causa mediata
2021S000195    ,Alcoholèmia
2021S000191    ,No hi ha causa mediata
2021S000198    ,No hi ha causa mediata
2021S000186    ,No hi ha causa mediata
2021S000199    ,No hi ha causa mediata
2021S000180    ,No hi ha causa mediata
2021S000192    ,No hi ha causa mediata
2021S000197    ,No hi ha causa mediata
2021S000182    ,No hi ha causa mediata
2021S000188    ,No hi ha causa mediata
2021S000185    ,No hi ha causa mediata
2021S000184    ,No hi ha causa mediata
2021S000215    ,Calçada en mal estat
2021S000201    ,No hi ha causa mediata
2021S000213    ,No hi ha causa mediata
2021S000205    ,No hi ha causa mediata
2021S000203    ,No hi ha causa mediata
2021S000207    ,No hi ha causa mediata
2021S000209    ,No hi ha causa mediata
2021S000208    ,No hi ha causa mediata
2021S000211    ,No hi ha causa mediata
2021S000204    ,No hi ha causa mediata
2021S000200    ,No hi ha causa mediata
2021S000212    ,No hi ha causa mediata
2021S000210    ,Alcoholèmia
2021S000202    ,No hi ha causa mediata
2021S000214    ,No hi ha causa mediata
2021S000238    ,No hi ha causa mediata
2021S000206    ,No hi ha causa mediata
2021S000236    ,No hi ha causa mediata
2021S000232    ,No hi ha causa mediata
2021S000237    ,No hi ha causa mediata
2021S000218    ,No hi ha causa mediata
2021S000222    ,No hi ha causa mediata
2021S000223    ,No hi ha causa mediata
2021S000226    ,No hi ha causa mediata
2021S000227    ,No hi ha causa mediata
2021S000234    ,No hi ha causa mediata
2021S000217    ,No hi ha causa mediata
2021S000231    ,No hi ha causa mediata
2021S000216    ,No hi ha causa mediata
2021S000228    ,No hi ha causa mediata
2021S000229    ,No hi ha causa mediata
2021S000241    ,No hi ha causa mediata
2021S000219    ,No hi ha causa mediata
2021S000221    ,Calçada en mal estat
2021S000225    ,No hi ha causa mediata
2021S000239    ,No hi ha causa mediata
2021S000235    ,No hi ha causa mediata
2021S000224    ,No hi ha causa mediata
2021S000233    ,No hi ha causa mediata
2021S000240    ,No hi ha causa mediata
2021S000220    ,No hi ha causa mediata
2021S000230    ,No hi ha causa mediata
2021S000242    ,No hi ha causa mediata
2021S000256    ,No hi ha causa mediata
2021S000255    ,No hi ha causa mediata
2021S000248    ,Alcoholèmia
2021S000253    ,No hi ha causa mediata
2021S000254    ,Alcoholèmia
2021S000245    ,No hi ha causa mediata
2021S000249    ,No hi ha causa mediata
2021S000252    ,No hi ha causa mediata
2021S000246    ,Calçada en mal estat
2021S000243    ,No hi ha causa mediata
2021S000247    ,Excés de velocitat o inadequada
2021S000251    ,No hi ha causa mediata
2021S000250    ,No hi ha causa mediata
2021S000244    ,No hi ha causa mediata
2021S000258    ,No hi ha causa mediata
2021S000259    ,No hi ha causa mediata
2021S000262    ,No hi ha causa mediata
2021S000257    ,No hi ha causa mediata
2021S000261    ,No hi ha causa mediata
2021S000269    ,No hi ha causa mediata
2021S000300    ,No hi ha causa mediata
2021S000271    ,No hi ha causa mediata
2021S000275    ,No hi ha causa mediata
2021S000266    ,No hi ha causa mediata
2021S000264    ,No hi ha causa mediata
2021S000263    ,No hi ha causa mediata
2021S000268    ,No hi ha causa mediata
2021S000265    ,No hi ha causa mediata
2021S000267    ,No hi ha causa mediata
2021S000270    ,Alcoholèmia
2021S000272    ,No hi ha causa mediata
2021S000273    ,No hi ha causa mediata
2021S000274    ,No hi ha causa mediata
2021S000283    ,No hi ha causa mediata
2021S000287    ,No hi ha causa mediata
2021S000292    ,No hi ha causa mediata
2021S000293    ,No hi ha causa mediata
2021S000280    ,No hi ha causa mediata
2021S000294    ,No hi ha causa mediata
2021S000282    ,No hi ha causa mediata
2021S000276    ,No hi ha causa mediata
2021S000299    ,No hi ha causa mediata
2021S000281    ,No hi ha causa mediata
2021S000277    ,No hi ha causa mediata
2021S000286    ,No hi ha causa mediata
2021S000285    ,No hi ha causa mediata
2021S000297    ,No hi ha causa mediata
2021S000295    ,No hi ha causa mediata
2021S000303    ,No hi ha causa mediata
2021S000301    ,No hi ha causa mediata
2021S000278    ,No hi ha causa mediata
2021S000290    ,No hi ha causa mediata
2021S000296    ,No hi ha causa mediata
2021S000289    ,No hi ha causa mediata
2021S000284    ,No hi ha causa mediata
2021S000279    ,No hi ha causa mediata
2021S000291    ,No hi ha causa mediata
2021S000288    ,No hi ha causa mediata
2021S000312    ,No hi ha causa mediata
2021S000311    ,No hi ha causa mediata
2021S000307    ,No hi ha causa mediata
2021S000313    ,No hi ha causa mediata
2021S000304    ,No hi ha causa mediata
2021S000314    ,No hi ha causa mediata
2021S006596    ,No hi ha causa mediata
2021S000309    ,No hi ha causa mediata
2021S000315    ,No hi ha causa mediata
2021S000308    ,No hi ha causa mediata
2021S000298    ,No hi ha causa mediata
2021S000310    ,No hi ha causa mediata
2021S000306    ,No hi ha causa mediata
2021S000302    ,No hi ha causa mediata
2021S000305    ,No hi ha causa mediata
2021S000317    ,No hi ha causa mediata
2021S000354    ,No hi ha causa mediata
2021S000322    ,No hi ha causa mediata
2021S000316    ,No hi ha causa mediata
2021S000339    ,No hi ha causa mediata
2021S000325    ,No hi ha causa mediata
2021S000337    ,No hi ha causa mediata
2021S000327    ,No hi ha causa mediata
2021S000331    ,No hi ha causa mediata
2021S000321    ,No hi ha causa mediata
2021S000324    ,No hi ha causa mediata
2021S000326    ,No hi ha causa mediata
2021S000318    ,No hi ha causa mediata
2021S000334    ,No hi ha causa mediata
2021S000329    ,No hi ha causa mediata
2021S000319    ,No hi ha causa mediata
2021S000330    ,No hi ha causa mediata
2021S000320    ,No hi ha causa mediata
2021S000323    ,No hi ha causa mediata
2021S000335    ,No hi ha causa mediata
2021S000328    ,No hi ha causa mediata
2021S000338    ,No hi ha causa mediata
2021S000349    ,No hi ha causa mediata
2021S000351    ,No hi ha causa mediata
2021S000346    ,No hi ha causa mediata
2021S000344    ,No hi ha causa mediata
2021S000345    ,No hi ha causa mediata
2021S000350    ,No hi ha causa mediata
2021S000340    ,No hi ha causa mediata
2021S000332    ,No hi ha causa mediata
2021S000336    ,Factors meteorològics
2021S000341    ,No hi ha causa mediata
2021S000333    ,No hi ha causa mediata
2021S000352    ,Excés de velocitat o inadequada
2021S000348    ,No hi ha causa mediata
2021S000342    ,No hi ha causa mediata
2021S000347    ,No hi ha causa mediata
2021S000343    ,No hi ha causa mediata
2021S000361    ,No hi ha causa mediata
2021S000359    ,No hi ha causa mediata
2021S000356    ,No hi ha causa mediata
2021S000353    ,Alcoholèmia
2021S000358    ,No hi ha causa mediata
2021S000360    ,No hi ha causa mediata
2021S000362    ,No hi ha causa mediata
2021S000357    ,No hi ha causa mediata
2021S000355    ,No hi ha causa mediata
2021S000373    ,Alcoholèmia
2021S000366    ,No hi ha causa mediata
2021S000374    ,No hi ha causa mediata
2021S000370    ,No hi ha causa mediata
2021S000371    ,No hi ha causa mediata
2021S000368    ,No hi ha causa mediata
2021S000369    ,No hi ha causa mediata
2021S000372    ,No hi ha causa mediata
2021S000367    ,Alcoholèmia
2021S000364    ,No hi ha causa mediata
2021S000363    ,No hi ha causa mediata
2021S000365    ,No hi ha causa mediata
2021S000377    ,No hi ha causa mediata
2021S000383    ,No hi ha causa mediata
2021S000390    ,No hi ha causa mediata
2021S000387    ,No hi ha causa mediata
2021S000378    ,No hi ha causa mediata
2021S000391    ,No hi ha causa mediata
2021S000382    ,No hi ha causa mediata
2021S000380    ,Alcoholèmia
2021S000385    ,No hi ha causa mediata
2021S000379    ,No hi ha causa mediata
2021S000381    ,No hi ha causa mediata
2021S000376    ,No hi ha causa mediata
2021S000386    ,No hi ha causa mediata
2021S000389    ,No hi ha causa mediata
2021S000375    ,No hi ha causa mediata
2021S000388    ,No hi ha causa mediata
2021S000384    ,No hi ha causa mediata
2021S000398    ,No hi ha causa mediata
2021S000406    ,No hi ha causa mediata
2021S000412    ,No hi ha causa mediata
2021S000404    ,No hi ha causa mediata
2021S000392    ,No hi ha causa mediata
2021S000393    ,No hi ha causa mediata
2021S000399    ,No hi ha causa mediata
2021S000403    ,No hi ha causa mediata
2021S000396    ,No hi ha causa mediata
2021S000408    ,No hi ha causa mediata
2021S000411    ,Excés de velocitat o inadequada
