Time segment,Holiday,Weekend Exit,Season,Weekend Return,Number accidents
22-2,No,Yes,Fall,Yes,0.0
22-2,No,Yes,Fall,No,32.0
22-2,No,No,Winter,Yes,0.0
22-2,No,No,Winter,No,98.0
22-2,No,No,Spring,Yes,0.0
22-2,No,No,Spring,No,94.0
22-2,No,No,Summer,Yes,0.0
22-2,No,No,Summer,No,205.0
22-2,No,No,Fall,Yes,0.0
22-2,No,No,Fall,No,134.0
2-6,Yes,Yes,Winter,Yes,0.0
2-6,Yes,Yes,Winter,No,0.0
2-6,Yes,Yes,Spring,Yes,0.0
2-6,Yes,Yes,Spring,No,0.0
2-6,Yes,Yes,Summer,Yes,0.0
2-6,Yes,Yes,Summer,No,2.0
2-6,Yes,Yes,Fall,Yes,0.0
2-6,Yes,Yes,Fall,No,1.0
2-6,Yes,No,Winter,Yes,15.0
2-6,Yes,No,Winter,No,15.0
2-6,Yes,No,Spring,Yes,5.0
2-6,Yes,No,Spring,No,15.0
2-6,Yes,No,Summer,Yes,14.0
2-6,Yes,No,Summer,No,23.0
2-6,Yes,No,Fall,Yes,25.0
2-6,Yes,No,Fall,No,33.0
2-6,No,Yes,Winter,Yes,0.0
2-6,No,Yes,Winter,No,14.0
2-6,No,Yes,Spring,Yes,0.0
2-6,No,Yes,Spring,No,15.0
2-6,No,Yes,Summer,Yes,0.0
2-6,No,Yes,Summer,No,16.0
2-6,No,Yes,Fall,Yes,0.0
2-6,No,Yes,Fall,No,11.0
2-6,No,No,Winter,Yes,0.0
2-6,No,No,Winter,No,16.0
2-6,No,No,Spring,Yes,0.0
2-6,No,No,Spring,No,24.0
2-6,No,No,Summer,Yes,0.0
2-6,No,No,Summer,No,34.0
2-6,No,No,Fall,Yes,0.0
2-6,No,No,Fall,No,41.0
