EMA;DATA;TM;TX;Data Extrem TX;TN;Data Extrem TN;HRM;HRX;Data Extrem HRX;HRN;Data Extrem HRN;PM;PX;Data Extrem PX;PN;Data Extrem PN;PPT;RS24h;VVM10;DVM10;VVX10;Data Extrem VVX10;DVVX10
X4;21/01/2021;13,4;17,1;2021-01-21 14:26:00;10;2021-01-21 04:19:00;62;80;2021-01-21 04:24:00;45;2021-01-21 14:24:00;1005,8;1007,7;2021-01-21 10:00:00;1004,1;2021-01-21 23:55:00;0;8,3;1,9;261;9,3;2021-01-21 12:39:00;281
X4;22/01/2021;13,1;15,4;2021-01-22 04:30:00;8,9;2021-01-22 08:41:00;56;95;2021-01-22 08:41:00;42;2021-01-22 12:44:00;998,9;1005,2;2021-01-22 23:30:00;993,4;2021-01-22 09:22:00;6,4;4,6;5;285;20;2021-01-22 08:34:00;308
X4;23/01/2021;12,3;15,7;2021-01-23 13:59:00;9,9;2021-01-23 04:25:00;48;62;2021-01-23 22:54:00;37;2021-01-23 14:00:00;1002,9;1006,2;2021-01-23 01:57:00;996,3;2021-01-23 23:59:00;0;9,1;4;293;14,7;2021-01-23 12:51:00;294
X4;24/01/2021;13,5;16,6;2021-01-24 14:38:00;11,8;2021-01-24 08:37:00;53;69;2021-01-24 09:01:00;34;2021-01-24 14:22:00;1001,4;1006,4;2021-01-24 22:10:00;993,7;2021-01-24 04:26:00;0;10,4;3,9;279;22,3;2021-01-24 07:00:00;312
X4;25/01/2021;12,6;16;2021-01-25 13:19:00;10,6;2021-01-25 23:31:00;58;76;2021-01-25 15:43:00;48;2021-01-25 02:30:00;1005,5;1012,4;2021-01-25 23:30:00;1002,5;2021-01-25 13:49:00;0;3,7;3,1;300;12,8;2021-01-25 04:19:00;306
X4;26/01/2021;10,9;13,5;2021-01-26 15:04:00;8,9;2021-01-26 01:17:00;74;88;2021-01-26 04:44:00;59;2021-01-26 15:22:00;1017,3;1020,6;2021-01-26 10:41:00;1012,4;2021-01-26 00:00:00;0,3;9,5;2;250;7,4;2021-01-26 15:35:00;250
X4;27/01/2021;12,1;15,1;2021-01-27 12:58:00;9,2;2021-01-27 06:00:00;58;69;2021-01-27 23:35:00;47;2021-01-27 15:23:00;1016,1;1017,9;2021-01-27 00:19:00;1014,7;2021-01-27 06:32:00;0;11,1;1,1;223;5,6;2021-01-27 06:31:00;285
X4;28/01/2021;14,1;19,6;2021-01-28 10:53:00;11;2021-01-28 06:18:00;73;85;2021-01-28 21:06:00;55;2021-01-28 10:54:00;1015;1016,6;2021-01-28 10:30:00;1012,9;2021-01-28 23:55:00;0;9;1,2;85;5,9;2021-01-28 09:43:00;340
X4;29/01/2021;17;22,7;2021-01-29 14:30:00;12,9;2021-01-29 01:30:00;66;95;2021-01-29 21:08:00;41;2021-01-29 14:30:00;1010,8;1013;2021-01-29 00:06:00;1008,9;2021-01-29 15:00:00;0;10,6;2,3;309;10,1;2021-01-29 15:20:00;277
X4;30/01/2021;15,2;19,6;2021-01-30 14:18:00;11,7;2021-01-30 23:48:00;57;85;2021-01-30 02:48:00;35;2021-01-30 15:34:00;1001,6;1009,8;2021-01-30 00:00:00;997,6;2021-01-30 15:04:00;0,2;10,3;3,5;295;16,8;2021-01-30 14:55:00;292
